r_mid_kpc,r_lo_kpc,r_hi_kpc,mass_msun,density_msun_kpc3,N
0.03242338698359277,0.029999999999999995,0.03504253411626043,340309.68890874647,5067706639.124907,6
0.037873254817908805,0.03504253411626043,0.04093263990964255,680619.3778174929,6359437620.686111,12
0.044239160801679805,0.04093263990964255,0.04781278101674175,623901.0963327019,3657694257.684611,11
0.0516750767222532,0.04781278101674175,0.05584936699908207,794055.9407870751,2920922275.211159,14
0.060360854633331115,0.05584936699908207,0.06523677828122945,850774.2222718662,1963633685.8261135,15
0.07050657692583809,0.06523677828122945,0.0762020676184967,1814985.0075133145,2628430164.9148335,32
0.08235763757814739,0.0762020676184967,0.0890104518083585,3232942.0446330914,2937639977.2365313,57
0.09620067748556141,0.0890104518083585,0.10397172647327194,3516533.452057047,2004899710.8654659,62
0.11237051742650511,0.10397172647327194,0.12144775906887102,5218081.896600779,1866663522.3408706,92
0.13125825635267144,0.12144775906887102,0.14186124135047634,8394305.65974908,1884157391.7714183,148
0.15332073087597825,0.14186124135047634,0.16570591299330412,10209290.667262394,1437822309.2526186,180
0.17909156474838175,0.16570591299330412,0.19355850364446475,11173501.452503841,987361499.3711452,197
0.20919407558765443,0.19355850364446475,0.22609268224844922,15200499.437924009,842795108.0646887,268
0.2443563510233315,0.22609268224844922,0.26409535103760373,17015484.445437323,591950942.6424469,300
0.2854288589086668,0.26409535103760373,0.30848567828936685,23141058.84579476,505128502.1750793,408
0.3334050175357415,0.30848567828936685,0.3603373301944293,24218706.19400579,331701042.2522591,427
0.38944522338428766,0.3603373301944293,0.42090443955668305,35845953.89838796,308044379.42562026,632
0.4549049175619522,0.42090443955668305,0.49165193942835145,45034315.498924114,242825316.1749135,794
0.5313673697773118,0.49165193942835145,0.5742909953581206,54903296.47727776,185748821.6812427,968
0.6206819727896341,0.5742909953581206,0.6708203932499368,66246952.77423598,140627676.93142307,1168
0.7250089735609528,0.6708203932499368,0.7835748838781385,80596677.98988812,107349317.4426114,1421
0.846871723020155,0.7835748838781385,0.9152816533648158,114287337.19185403,95511905.53108406,2015
0.9892177082010013,0.9152816533648158,1.0691262854674606,137314959.4746792,72003647.69326249,2421
1.1554898429347518,1.0691262854674606,1.2488298111028096,173841532.75088465,57196234.407943554,3065
1.349709741401115,1.2488298111028096,1.4587387086991093,222449099.9833506,45922106.08564859,3922
1.576574988669921,1.4587387086991093,1.703930032209941,264477346.5635808,34257595.20262344,4663
1.841572760910287,1.703930032209941,1.9903342095145868,327831666.98209244,26643823.37191305,5780
2.1511125433924887,1.9903342095145868,2.3248784813225054,405081966.3643779,20656931.200552378,7142
2.5126811563249016,2.3248784813225054,2.7156544499301214,523679892.949076,16755833.741073303,9233
2.9350238381266696,2.7156544499301214,3.1721137903216916,620327844.59916,12453707.713211358,10937
3.428355765986382,3.1721137903216916,3.7052968572669363,728035861.1387782,9170804.061850801,12836
4.004609129741866,3.7052968572669363,4.328099717721639,876297448.9400222,6926015.189509028,15450
4.677721735042245,4.328099717721639,5.0555860672279245,1001871724.1473496,4968453.866558962,17664
5.463974116219695,5.0555860672279245,5.905351574617516,1196358711.3586981,3722612.299446012,21093
6.382383312599754,5.905351574617516,6.897949467401553,1392944274.9849842,2719552.104922654,24559
7.455162832494272,6.897949467401553,8.057387651455313,1637570223.028888,2006045.7052695437,28872
8.708259929998578,8.057387651455313,9.411709388801947,1798877015.5716338,1382673.4176235802,31716
10.17198318967463,9.411709388801947,10.993671578314029,1937780086.9278872,934544.2699746926,34165
11.881735598473362,10.993671578314029,12.841537044867737,1975724617.2412124,597859.3851246204,34834
13.878870835662967,12.841537044867737,15.000000000000004,2045771694.8749294,388424.89332294033,36069
