r_mid_kpc,r_lo_kpc,r_hi_kpc,mass_msun,density_msun_kpc3,N
0.03242338698359277,0.029999999999999995,0.03504253411626043,30816.095204500016,458896514.9964503,1
0.037873254817908805,0.03504253411626043,0.04093263990964255,198680.45001203427,1856391353.935535,4
0.044239160801679805,0.04093263990964255,0.04781278101674175,0.0,0.0,0
0.0516750767222532,0.04781278101674175,0.05584936699908207,51722.818170674145,190261572.22836024,2
0.060360854633331115,0.05584936699908207,0.06523677828122945,50682.4767398939,116977943.15135206,2
0.07050657692583809,0.06523677828122945,0.0762020676184967,379237.0944211143,549204657.0659065,10
0.08235763757814739,0.0762020676184967,0.0890104518083585,427183.6974112375,388164059.1801533,13
0.09620067748556141,0.0890104518083585,0.10397172647327194,616324.8667689913,351388537.6126665,18
0.11237051742650511,0.10397172647327194,0.12144775906887102,899257.968285383,321691395.38921154,25
0.13125825635267144,0.12144775906887102,0.14186124135047634,1070046.8055802048,240179078.53210133,31
0.15332073087597825,0.14186124135047634,0.16570591299330412,2507832.643914298,353189838.6294893,66
0.17909156474838175,0.16570591299330412,0.19355850364446475,2171961.2391279954,191928279.13052002,64
0.20919407558765443,0.19355850364446475,0.22609268224844922,4446503.869530716,246537406.51978248,120
0.2443563510233315,0.22609268224844922,0.26409535103760373,4964477.659541444,172708995.72189033,133
0.2854288589086668,0.26409535103760373,0.30848567828936685,7721309.211774496,168542562.50608236,206
0.3334050175357415,0.30848567828936685,0.3603373301944293,8594159.053245675,117706185.14497004,213
0.38944522338428766,0.3603373301944293,0.42090443955668305,10501119.73654566,90242009.50790751,249
0.4549049175619522,0.42090443955668305,0.49165193942835145,12574323.259286758,67800831.15052168,277
0.5313673697773118,0.49165193942835145,0.5742909953581206,11512415.719607815,38948802.56428266,245
0.6206819727896341,0.5742909953581206,0.6708203932499368,10681665.808078833,22674821.79092972,235
0.7250089735609528,0.6708203932499368,0.7835748838781385,12571903.732805366,16744924.460040363,247
0.846871723020155,0.7835748838781385,0.9152816533648158,12132285.883126315,10139161.272084119,255
0.9892177082010013,0.9152816533648158,1.0691262854674606,14536563.10104634,7622516.674096446,299
1.1554898429347518,1.0691262854674606,1.2488298111028096,17678623.764822986,5816508.246689464,350
1.349709741401115,1.2488298111028096,1.4587387086991093,22326644.01617512,4609083.674081143,451
1.576574988669921,1.4587387086991093,1.703930032209941,29457730.93756543,3815642.5688591516,580
1.841572760910287,1.703930032209941,1.9903342095145868,39182192.86560997,3184449.616005428,775
2.1511125433924887,1.9903342095145868,2.3248784813225054,54727114.808201805,2790779.0009611477,1084
2.5126811563249016,2.3248784813225054,2.7156544499301214,74410201.88480252,2380853.2429995225,1491
2.9350238381266696,2.7156544499301214,3.1721137903216916,100257219.64439072,2012764.8959515444,1990
3.428355765986382,3.1721137903216916,3.7052968572669363,135021939.5772001,1700822.4704435584,2696
4.004609129741866,3.7052968572669363,4.328099717721639,185140573.40553337,1463300.4183136688,3683
4.677721735042245,4.328099717721639,5.0555860672279245,230697162.54894954,1144066.8317553315,4588
5.463974116219695,5.0555860672279245,5.905351574617516,297045908.7964628,924293.6446126552,5917
6.382383312599754,5.905351574617516,6.897949467401553,346212686.0176795,675937.6207066546,6888
7.455162832494272,6.897949467401553,8.057387651455313,355472745.1842154,435458.9279830784,7014
8.708259929998578,8.057387651455313,9.411709388801947,350730443.7641778,269582.4434612325,6950
10.17198318967463,9.411709388801947,10.993671578314029,326231766.4950842,157333.6572701857,6464
11.881735598473362,10.993671578314029,12.841537044867737,295054608.91869,89284.28867411175,5803
13.878870835662967,12.841537044867737,15.000000000000004,250275335.41560844,47519.07102034377,4968
