snapshot_index,snapshot_number,snapshot_file,time_gyr,x_sat_kpc,y_sat_kpc,z_sat_kpc,vx_sat_kms,vy_sat_kms,vz_sat_kms,R_host_kpc,V_3d_kms,V_rad_kms,V_tan_kms,r_tidal_kpc,rhalf_star_kpc,r90_star_kpc,Mstar_tracked_msun,Mstar_inside_rt_msun,Mstar_inside_rhalf_msun,Nstar_tracked,Nstar_inside_rt,Nstar_inside_rhalf,Mgas_tracked_msun,Mgas_inside_rt_msun,Mgas_inside_rhalf_msun,Ngas_tracked,Ngas_inside_rt,Ngas_inside_rhalf,Mdm_tracked_msun,Mdm_inside_rt_msun,Mdm_inside_rhalf_msun,Ndm_tracked,Ndm_inside_rt,Ndm_inside_rhalf,rho_cgm_msun_kpc3,rho_cgm_aperture_msun_kpc3,rho_cgm_density_field_msun_kpc3,N_cgm_for_ram,ram_pressure_radius_kpc,V_rel_cgm_kms,P_ram_msun_kpc3_kms2,P_ram_dyne_cm2,log10_P_ram_dyne_cm2,Mstar_inside_1kpc_msun,Nstar_inside_1kpc,Mstar_inside_3kpc_msun,Nstar_inside_3kpc,Mgas_inside_1kpc_msun,Ngas_inside_1kpc,Mgas_inside_3kpc_msun,Ngas_inside_3kpc,Mdm_inside_1kpc_msun,Ndm_inside_1kpc,Mdm_inside_3kpc_msun,Ndm_inside_3kpc,SFR_tracked_msun_per_yr,SFR_inside_rt_msun_per_yr,SFR_inside_rhalf_msun_per_yr,Mgas_SF_tracked_msun,Mgas_SF_inside_rt_msun,Mgas_SF_inside_rhalf_msun,Ngas_SF_tracked,Ngas_SF_inside_rt,Ngas_SF_inside_rhalf,SFR_inside_1kpc_msun_per_yr,Mgas_SF_inside_1kpc_msun,Ngas_SF_inside_1kpc,SFR_inside_3kpc_msun_per_yr,Mgas_SF_inside_3kpc_msun,Ngas_SF_inside_3kpc,Mstar_young_tracked_msun,Mstar_young_inside_rt_msun,Mstar_young_inside_rhalf_msun,Nstar_young_tracked,Nstar_young_inside_rt,Nstar_young_inside_rhalf,Mstar_young_inside_1kpc_msun,Nstar_young_inside_1kpc,Mstar_young_inside_3kpc_msun,Nstar_young_inside_3kpc,Msat_tracked_msun,Msat_inside_rt_msun,Msat_inside_rhalf_msun,Msat_inside_1kpc_msun,Msat_inside_3kpc_msun,gas_to_star_inside_rt,dm_to_star_inside_rt,orbital_event,t_minus_first_peri_gyr,t_minus_deepest_peri_gyr,t_minus_tperi_gyr,tperi_first_gyr,tperi_deepest_gyr
0,0,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_000.hdf5,0.0,149.78392273929705,79.81366993241522,0.05473307363820322,-156.168041665091,2.484122893256152,1.966722292186648,169.72167927215892,156.20017957938776,-136.65365189139956,75.65894213757667,41.50925276649446,1.652173439958116,7.117228464825479,497386913.63018006,497386913.63018006,248693456.81509003,7584,7584,3792,4673235598.511382,4673235598.511382,131531119.49577579,44554,44554,1254,33759174542.465187,33634991446.85193,1200277381.8312562,70681,70421,2513,,,,0,30.0,156.20017957938776,,,,181601313.79772794,2769,324573817.9793989,4949,99225230.49681331,946,304283714.0492338,2901,556913421.0963967,1166,3008574304.876674,6299,0.5914602831326192,0.5914602831326192,0.2374733558463049,681150789.4781244,681150789.4781244,119363966.49616654,6494,6494,1138,0.22393088398166583,98595894.99683353,940,0.2938046929812117,207366047.24334028,1977,497386913.63018006,497386913.63018006,248693456.81509003,7584,7584,3792,181601313.79772794,2769,324573817.9793989,4949,38929797054.60675,38805613958.99349,1580501958.142122,837739965.3909379,3637431836.905307,9.395574090206267,67.62339443425809,,-0.9011417612012163,-0.9011417612012163,-0.9011417612012163,0.9011417612012163,0.9011417612012163
1,1,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_001.hdf5,0.1909750431640625,117.28138479722323,79.67960492337409,0.23329926788796435,-174.57006658513535,-4.299644628572838,-2.0229307315191045,141.78792998435276,174.6347254706667,-146.8170463389914,94.56237224451161,35.80064865221707,2.084299343204062,6.415326153511056,718178784.8730892,717654115.132973,358885248.01521266,9689,9681,5094,4452443727.268474,4435976138.129263,384838658.2376406,42449,42292,3669,33759174542.465187,33022673260.020382,1996959702.919412,70681,69139,4181,30346.67292382249,457.2545396707704,30346.67292382249,208,22.5,85.27629512069478,220682416.91098058,1.4936028691842392e-13,-12.825764860786292,218353868.24022862,3146,442700409.95797896,6185,99015451.99682005,944,726462945.4766691,6926,615661577.8672858,1289,3383034100.87974,7083,1.6412681568217522,1.6412681568217522,0.41184728549342253,2086876517.9329786,2086876517.9329786,380957755.9877653,19896,19896,3632,0.13325028499093605,99015451.99682005,944,0.6878139548607578,705589984.7273395,6727,146949839.2452806,146949839.2452806,39543247.24873004,1401,1401,377,18145840.249417238,173,61465100.498026006,586,38929797054.60675,38176303513.282616,2740683609.172265,933030898.1043346,4552197456.314388,6.181217448056197,46.01474800141244,,-0.7101667180371538,-0.7101667180371538,-0.7101667180371538,0.9011417612012163,0.9011417612012163
2,2,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_002.hdf5,0.3914988384863281,78.33815388646823,77.61480825616799,0.04270297838400278,-208.197679241351,-24.477587709403277,2.475533367478236,110.27659152569987,209.64625970193103,-165.12606299553408,129.1701882270225,28.511998089874794,2.6506451807474307,6.385867586906147,1075641348.6706152,1073214751.1225777,536659881.47258765,13097,13060,6971,4094981163.4709477,4040858350.0084205,607203868.2304991,39041,38525,5789,33759174542.465187,29461961806.955513,2845703398.706974,70681,61684,5958,838680.3743258661,3680.948150827051,838680.3743258661,147,10.0,120.68641869079877,12215557164.134064,8.267623440246496e-12,-11.082619312106102,265044176.26711076,3611,589099077.7879779,7574,100903458.49675941,962,753419482.7258034,7183,643841588.0256798,1348,3376347318.808257,7069,1.9515863833112235,1.9515863833112235,0.6113710094250564,2510838865.8463807,2510838865.8463807,600386066.9807183,23938,23938,5724,0.13801077462994726,100903458.49675941,962,0.7279164706487791,741986554.4761705,7074,192891330.55281126,192891330.55281126,65450891.997898,1839,1839,624,18984954.24939029,181,75625149.24757124,721,38929797054.60675,34576034908.08651,3989567148.410061,1009789222.7895501,4718865879.322039,3.7651908397473117,27.452065652413403,,-0.5096429227148882,-0.5096429227148882,-0.5096429227148882,0.9011417612012163,0.9011417612012163
3,3,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_003.hdf5,0.5824738816503906,40.48325093474529,70.6571898646294,0.14654389944834195,-250.46765726418505,-47.014126459366075,-5.216047340503069,81.43312324187443,254.89523842552435,-165.31842232740593,194.0139216942495,21.365411735150897,5.916921459323605,9.855227698267512,1431530573.7181916,1425955957.7294567,712984939.5187193,16490,16405,8208,3739616384.6733546,3633363617.5913854,1253950983.3277407,35653,34640,11955,33759174542.465187,23693657015.71951,4483009751.638746,70681,49607,9386,1368774.1360347203,14273.064161532873,1368774.1360347203,570,10.0,44.87253739725071,2756087787.297792,1.8653505269937963e-12,-11.729239545820468,12914628.587168412,125,135417608.9989778,1366,18145840.249417238,173,353266993.7976607,3368,18149837.051169015,38,543539856.9534299,1138,1.8002642883911903,1.8002642883911903,0.8215533132060955,2346057854.674655,2346057854.674655,1021411516.4671967,22367,22367,9738,0.010876772514166078,17306726.249444187,165,0.20500537233237992,288235658.99074316,2748,179150838.80325258,179150838.80325258,82442950.3063584,1708,1708,786,1992895.7499359967,19,19089843.49938692,182,38930321500.856735,28752976591.04035,6449945674.485207,49210305.887754664,1032224459.7500684,2.5480195218488895,16.615980940566224,,-0.31866787955082565,-0.31866787955082565,-0.31866787955082565,0.9011417612012163,0.9011417612012163
4,4,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_004.hdf5,0.7829976769726562,-12.084621299876934,45.37816558448945,-0.7893911214888738,-259.439626785785,-155.55281217096646,-3.0740085763994505,46.96636160186849,302.5145398981199,-83.4862420491584,290.76639117731696,13.170636381215722,4.715337768835831,8.860621404383462,1797489166.9564385,1781947166.846294,890997352.4714587,19979,19760,10287,3375545797.9350467,2989343624.5220075,980609598.218507,32182,28500,9349,33759174542.465187,16717910433.289944,4212672705.0344925,70681,35002,8820,3093721.813006824,6059.788256456052,3093721.813006824,242,10.0,74.3037290013414,17080574697.334322,1.1560320814115966e-11,-10.93703011350485,15209611.719910754,154,241091340.10359412,2520,25802755.49917133,246,427318804.4862763,4074,42508828.88300112,89,1133887188.4072433,2374,1.823206643202866,1.8091761666692037,0.7286165590376186,2448115094.539389,2423780788.5401707,906348009.220892,23340,23108,8641,0.01829129972247756,25802755.49917133,246,0.302203712224582,405921397.48696357,3870,179675285.24422958,179360617.4942397,80450054.74741629,1713,1710,767,1992895.7499359967,19,30522771.74901974,291,38932209507.356674,21489201224.658245,6084279655.724459,83521196.1020832,1802297332.9971137,1.6775714118463874,9.381821607470805,,-0.11814408422856004,-0.11814408422856004,-0.11814408422856004,0.9011417612012163,0.9011417612012163
5,5,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_005.hdf5,0.9739727201367188,-32.11490603059731,25.732698169834837,-1.805832484539764,-152.12575172233736,-231.728727217258,0.9877890968528938,41.19223197905323,277.20285547251575,-26.201176851806714,275.9618115132904,0.05,34.90725244420596,39.72450731289829,2175195356.0033145,0.0,1087621274.018602,23580,0,11755,3006545416.637891,0.0,1573443637.4805226,28664,0,15001,33759174542.465187,0.0,12945132463.100891,70681,0,27103,4429.016235509337,3856.2245588110013,4429.016235509337,154,10.0,277.6874552152387,341522871.53532594,2.31146435659606e-13,-12.636112799112336,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2865763.7449214235,6,1.8096896738643409,0.0,0.9533855182235129,2225120549.237545,0.0,1166473349.021544,21214,0,11121,0.0,0.0,0,0.0,0.0,0,206841600.99335712,0.0,110343490.99645624,1972,0,1052,0.0,0,0.0,0,38940915315.10639,0.0,15606197374.600016,0.0,2865763.7449214235,,,pericentre,0.07283095893550251,0.07283095893550251,0.07283095893550251,0.9011417612012163,0.9011417612012163
6,6,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_006.hdf5,1.1744965154589844,-71.49180301350317,-50.46946786707142,-0.06178398766223457,-52.059590727165265,-222.25588456497366,2.4086242461968452,87.51142155266379,228.28421031950108,170.70710485657895,151.56769125602978,21.870799382311088,2.6937788015701125,6.321212633064491,2515036525.9924006,2481100719.0510283,1240629781.8233724,26820,26441,13759,2675514943.6485224,2350358313.542529,592519373.2309709,25508,22408,5649,33759174542.465187,21464570449.461464,3109831290.5305653,70681,44940,6511,7293406.57624903,6685.803411008945,7293406.57624903,267,10.0,23.796939068971643,4130214637.7348022,2.79537469256369e-12,-11.55355997095954,515433207.1197132,6069,1362164268.5302505,15014,104994139.24662805,1001,711358893.4771543,6782,693992453.5618048,1453,3581249426.570139,7498,1.7007468708834494,1.678061003658513,0.6251075146828953,1996357094.9948916,1957757850.9961314,588848249.4810886,19033,18665,5614,0.15351911106699845,104994139.24662805,1001,0.72711804800565,706009541.727326,6731,170025474.24453953,166039682.74466753,72583360.99766894,1621,1583,692,20768071.499333024,198,83701621.49731186,798,38949726012.10611,26296029482.055023,4942980445.5849085,1314419799.928146,5654772588.577543,0.9473046763057222,8.651228982623179,,0.2733547542577681,0.2733547542577681,0.2733547542577681,0.9011417612012163,0.9011417612012163
7,7,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_007.hdf5,1.3654715586230468,-78.31014053806207,-89.43998649832912,0.3398877714574202,-20.42715302621976,-196.48260071582214,2.3140415473283675,118.87852968307404,197.55514610632787,161.28935094500966,114.07796029395891,27.629229969756935,3.1181361810821437,6.811910658188095,2813761109.982806,2767330678.4345183,1383746358.0239272,29668,29174,15059,2388433066.4077425,2095792103.8007045,596190496.789859,22771,19981,5684,33759174542.465187,21609291518.579994,3071143479.974126,70681,45243,6430,5404561.238313343,7562.220104216953,5404561.238313343,302,10.0,33.371740033830335,6018914105.6881275,4.073667265143118e-12,-11.39001444681687,99216896.44215803,1010,1324401521.3786044,14443,40487250.498699725,386,555283689.2911727,5294,156661751.38903782,328,2869584763.247986,6008,1.3551733320236963,1.3164493870717706,0.570493425559107,1641516762.2562876,1580051661.7582617,570912187.5406709,15650,15064,5443,0.037297939517884515,40487250.498699725,386,0.537699686781707,533047168.2918869,5082,147579174.7452604,138978256.24553663,64926445.74791484,1407,1325,619,4090680.749868625,39,61884657.498012535,590,38961368718.855736,26472414300.815216,5051080334.787912,296365898.3298956,4749269973.917763,0.757333454990748,7.8087131714972315,,0.46432979742183056,0.46432979742183056,0.46432979742183056,0.9011417612012163,0.9011417612012163
8,8,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_008.hdf5,1.5659953539453124,-77.90559305556901,-126.50678775701189,0.21574077085510363,4.607554950650144,-161.2393630017347,0.7241994529395521,148.57084277211928,161.30680769476552,134.8789266979811,88.47350643823671,32.717284824828106,2.65641726100995,6.276118801000396,3094654521.4737854,3025646399.501056,1512899125.1094701,32346,31633,16396,2122433928.416285,1848568141.558644,505985741.79275596,20235,17624,4824,33759174542.465187,21221935785.72478,3120816718.21943,70681,44432,6534,5526972.224393271,6510.520619524527,5526972.224393271,260,10.0,13.666228830196276,1032249446.764243,6.986377786603815e-13,-12.155747933699624,632098342.7121973,7209,1674933219.3830924,18027,114643950.24631813,1093,595980718.2898657,5682,744143319.0979297,1558,3638564701.468567,7618,1.1818750010206713,1.1437924252204539,0.5491724174862611,1441492962.5127115,1381496311.5146384,503363510.54284024,13743,13171,4799,0.17749115046171937,114643950.24631813,1093,0.6166222085157642,590316698.7900476,5628,137300028.2455905,124923096.74598801,61884657.498012535,1309,1191,590,24124527.49922523,230,68807347.9977902,656,38976262992.355255,26096150326.78448,5139701585.121656,1490885612.0564451,5909478639.141525,0.6109663514756655,7.014017166455532,,0.6648535927440962,0.6648535927440962,0.6648535927440962,0.9011417612012163,0.9011417612012163
9,9,../SIMULATIONS/ORBIT/HigherRes/E_high_L_mid/output/snapshot_009.hdf5,1.7569703971093749,-75.67451309206878,-155.6641670542757,0.32153772732373864,14.760807017819662,-140.55256643229671,-0.7422680937106304,173.08399181591935,141.32747898567158,119.95183616974596,74.73294665642368,36.770563183078295,2.672476904200568,6.041780644670526,3322788640.2164583,3237968296.1891375,1619045928.8463898,34521,33655,17393,1905313180.9232583,1653369247.314913,475777637.7937262,18165,15763,4536,33759174542.465187,20844610225.976795,3108398408.6581044,70681,43642,6508,6761776.164071628,6034.751805020812,6761776.164071628,241,10.0,3.3964698740653665,78003901.25496998,5.2793898287322125e-14,-13.277416268626702,678289588.7135963,7658,1790585862.8273563,19118,109294598.49648993,1042,552976125.7912469,5272,753695864.9143343,1578,3603697909.2386904,7545,1.069492639573582,1.0321203002495167,0.5042620935782907,1312898742.0168414,1254580319.0187144,472945628.0438171,12517,11961,4509,0.16907351303234464,109294598.49648993,1042,0.5614608284231508,547731663.2914155,5222,115168396.4963013,107301702.74655393,54961966.99823485,1098,1023,524,20033846.749356605,191,60730875.74804959,579,38987276363.604904,25735947769.480846,5203221975.298221,1541280052.1244206,5947259897.857294,0.5106193440068,6.43755846853394,,0.8558286359081586,0.8558286359081586,0.8558286359081586,0.9011417612012163,0.9011417612012163
