snapshot_index,snapshot_number,snapshot_file,time_gyr,x_sat_kpc,y_sat_kpc,z_sat_kpc,vx_sat_kms,vy_sat_kms,vz_sat_kms,R_host_kpc,V_3d_kms,V_rad_kms,V_tan_kms,r_tidal_kpc,rhalf_star_kpc,r90_star_kpc,Mstar_tracked_msun,Mstar_inside_rt_msun,Mstar_inside_rhalf_msun,Nstar_tracked,Nstar_inside_rt,Nstar_inside_rhalf,Mgas_tracked_msun,Mgas_inside_rt_msun,Mgas_inside_rhalf_msun,Ngas_tracked,Ngas_inside_rt,Ngas_inside_rhalf,Mdm_tracked_msun,Mdm_inside_rt_msun,Mdm_inside_rhalf_msun,Ndm_tracked,Ndm_inside_rt,Ndm_inside_rhalf,rho_cgm_msun_kpc3,rho_cgm_aperture_msun_kpc3,rho_cgm_density_field_msun_kpc3,N_cgm_for_ram,ram_pressure_radius_kpc,V_rel_cgm_kms,P_ram_msun_kpc3_kms2,P_ram_dyne_cm2,log10_P_ram_dyne_cm2,Mstar_inside_1kpc_msun,Nstar_inside_1kpc,Mstar_inside_3kpc_msun,Nstar_inside_3kpc,Mgas_inside_1kpc_msun,Ngas_inside_1kpc,Mgas_inside_3kpc_msun,Ngas_inside_3kpc,Mdm_inside_1kpc_msun,Ndm_inside_1kpc,Mdm_inside_3kpc_msun,Ndm_inside_3kpc,SFR_tracked_msun_per_yr,SFR_inside_rt_msun_per_yr,SFR_inside_rhalf_msun_per_yr,Mgas_SF_tracked_msun,Mgas_SF_inside_rt_msun,Mgas_SF_inside_rhalf_msun,Ngas_SF_tracked,Ngas_SF_inside_rt,Ngas_SF_inside_rhalf,SFR_inside_1kpc_msun_per_yr,Mgas_SF_inside_1kpc_msun,Ngas_SF_inside_1kpc,SFR_inside_3kpc_msun_per_yr,Mgas_SF_inside_3kpc_msun,Ngas_SF_inside_3kpc,Mstar_young_tracked_msun,Mstar_young_inside_rt_msun,Mstar_young_inside_rhalf_msun,Nstar_young_tracked,Nstar_young_inside_rt,Nstar_young_inside_rhalf,Mstar_young_inside_1kpc_msun,Nstar_young_inside_1kpc,Mstar_young_inside_3kpc_msun,Nstar_young_inside_3kpc,Msat_tracked_msun,Msat_inside_rt_msun,Msat_inside_rhalf_msun,Msat_inside_1kpc_msun,Msat_inside_3kpc_msun,gas_to_star_inside_rt,dm_to_star_inside_rt,orbital_event,t_minus_first_peri_gyr,t_minus_deepest_peri_gyr,t_minus_tperi_gyr,tperi_first_gyr,tperi_deepest_gyr
0,0,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_000.hdf5,0.0,149.78392273929705,79.81366993241522,0.05473307363820322,-109.09604172256886,49.05212288947756,1.966722292186648,169.72167927215892,119.6324582881731,-73.21218802030562,94.61448409916368,41.50925276649446,1.652173439958116,7.117228464825479,497386913.63018006,497386913.63018006,248693456.81509003,7584,7584,3792,4673235598.511382,4673235598.511382,131531119.49577579,44554,44554,1254,33759174542.465187,33634991446.85193,1200277381.8312562,70681,70421,2513,,,,0,30.0,119.6324582881731,,,,181601313.79772794,2769,324573817.9793989,4949,99225230.49681331,946,304283714.0492338,2901,556913421.0963967,1166,3008574304.876674,6299,0.5914602831326192,0.5914602831326192,0.2374733558463049,681150789.4781244,681150789.4781244,119363966.49616654,6494,6494,1138,0.22393088398166583,98595894.99683353,940,0.2938046929812117,207366047.24334028,1977,497386913.63018006,497386913.63018006,248693456.81509003,7584,7584,3792,181601313.79772794,2769,324573817.9793989,4949,38929797054.60675,38805613958.99349,1580501958.142122,837739965.3909379,3637431836.905307,9.395574090206267,67.62339443425809,,-1.3282406706224836,-1.3282406706224836,-1.3282406706224836,1.3282406706224836,1.3282406706224836
1,1,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_001.hdf5,0.1909750431640625,126.56261355380504,88.81225314205828,0.24803884806684803,-125.97342771233168,42.8203202740902,-2.0282311146901173,154.61491836497856,133.06764460012175,-78.52450678301985,107.42858034018592,38.44400641967204,2.1159803138233766,6.420242556695884,721745019.1819807,721482684.3119226,360774148.47568434,9723,9719,5124,4448877492.959582,4439437475.166414,398159592.9872128,42415,42325,3796,33759174542.465187,33352236090.686348,2036602768.0574918,70681,69829,4264,25125.57293181251,389.1060789126541,25125.57293181251,177,22.5,80.42869761335389,162531688.086695,1.100032340852827e-13,-12.958594546435,221304241.5678501,3179,444181886.80538154,6198,102476797.24670888,977,726882502.2856617,6930,615661577.8672858,1289,3375869691.5174365,7068,1.6406344070455816,1.6406344070455816,0.4281269621278625,2083834729.3010883,2083834729.3010883,392705351.987388,19867,19867,3744,0.14156338416069048,102476797.24670888,977,0.6881354375436786,702128639.2864568,6694,150516073.74516606,150516073.74516606,38284576.24877047,1435,1435,365,19194732.749383554,183,61884657.498012535,590,38929797054.60675,38513156250.16469,2795536509.5203886,939442616.6818448,4546934080.6084795,6.15321416812699,46.22735488446871,,-1.1372656274584212,-1.1372656274584212,-1.1372656274584212,1.3282406706224836,1.3282406706224836
2,2,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_002.hdf5,0.3914988384863281,98.11510655225554,96.8501506257043,0.05434112574069217,-153.9562376455991,26.900236200464494,2.5641152283466395,137.86416779910587,156.30969421162976,-90.66896493661172,127.32579982806578,34.58689761306564,2.629448750914083,6.378486590923498,1074802234.670642,1073293809.1678079,536711990.8623863,13089,13066,6967,4095820277.4709206,4067185544.690801,598288281.5987978,39049,38776,5704,33759174542.465187,31636598862.060055,2803672197.114793,70681,66237,5870,1009487.8108054827,1827.9538662511172,1009487.8108054827,73,10.0,92.25830355100207,8592350973.08096,5.815397640677709e-12,-11.23542058407434,261857299.27419743,3569,590305415.7170118,7587,97232334.36488955,927,755517267.1527543,7203,644796842.6073203,1350,3363451381.956111,7042,1.889727884416061,1.889727884416061,0.5976194683207723,2436682165.5257807,2436682165.5257807,590526477.099047,23231,23231,5630,0.13124321349459933,97232334.36488955,927,0.7234490639202704,743455003.4031417,7088,190688656.49387592,190688656.49387592,66080227.49787779,1818,1818,630,18670286.499400392,178,77303377.24751735,737,38929797054.60675,36777078215.91866,3938672469.575977,1003886476.2464073,4709274064.825877,3.7894428440282772,29.47617753109924,,-0.9367418321361556,-0.9367418321361556,-0.9367418321361556,1.3282406706224836,1.3282406706224836
3,3,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_003.hdf5,0.5824738816503906,66.93329774845401,99.07669049563712,0.12107592821290585,-164.12378819661785,-1.7372172987009702,-0.8650122944854027,119.56701721809348,164.13526136153922,-93.31644391036576,135.02749837771694,30.18326602202104,2.788675161217548,6.46786319371239,1426600779.1593437,1424043014.1762772,712079376.5716372,16443,16404,8715,3745175514.732182,3698604726.69643,626503489.4659039,35706,35262,5973,33759174542.465187,28933706023.30833,3144698082.760442,70681,60578,6584,2287907.680839595,7687.422423823193,2287907.680839595,307,10.0,34.15861573898801,2669555915.8038173,1.8067848046547043e-12,-11.743093570580404,300117385.259,3957,759992402.4179927,9237,98071448.36486259,935,704645980.7133943,6718,669155834.4391524,1401,3482380577.37035,7291,1.7421888295830286,1.7421888295830286,0.6210190980527841,2268230030.031191,2268230030.031191,621783473.2160554,21625,21625,5928,0.1326207090241951,98071448.36486259,935,0.6841622179526894,698142847.213603,6656,176528607.74433067,176528607.74433067,68178012.49781042,1683,1683,650,17096947.749450922,163,76254484.74755104,727,38930950836.35671,34056353764.181038,4483280948.797983,1067344668.063015,4947018960.501737,2.597256325740869,20.318000043028707,,-0.745766788972093,-0.745766788972093,-0.745766788972093,1.3282406706224836,1.3282406706224836
4,4,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_004.hdf5,0.7829976769726562,29.69137280713851,95.46121712041426,-0.17564600077927453,-195.95498728257337,-42.17394867722945,-2.276856402148357,99.97225837601621,200.4549402310132,-98.46480705258682,174.60488204834346,25.618023233563576,2.992842341186379,6.453268384393465,1766232170.4574428,1762165979.9715416,881125564.8561201,19681,19619,10381,3406593015.9340496,3303172257.265033,605106082.4665911,32478,31492,5769,33759174542.465187,26288128459.45504,3434140220.997506,70681,55039,7190,2652725.2883127974,10241.549515808345,2652725.2883127974,409,10.0,37.37940638200351,3706440884.292978,2.5085599554018234e-12,-11.6005755147323,332999606.40761125,4263,882358181.1611803,10395,88316748.11517587,842,607413645.966517,5791,650528370.0971632,1362,3445603275.977192,7214,1.623140023821179,1.623140023821179,0.5613355874920671,2171941698.3432894,2171941698.3432894,598078502.7168167,20707,20707,5702,0.11495785435545258,88316748.11517587,842,0.5631136145966593,600386066.2167426,5724,158382767.49491343,158382767.49491343,60416207.99805969,1510,1510,576,14055159.499548608,134,60521097.24805632,577,38931999728.85668,31353466696.691612,4920371868.320217,1071844724.6199503,4935375103.104889,1.8744955326616723,14.91807738785173,,-0.5452429936498274,-0.5452429936498274,-0.5452429936498274,1.3282406706224836,1.3282406706224836
5,5,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_005.hdf5,0.9739727201367188,-6.6270859955085655,81.53224426744711,-0.6336924017555587,-198.98876506607382,-85.27866437840979,-2.712369148191613,81.80358604693666,216.50943666981965,-68.85427279089541,205.26915327325636,21.520242691533998,3.4403481264933373,7.144270775373976,2074291897.315561,2068586113.891797,1034378657.0138035,22618,22531,11799,3101889745.075823,2964904427.7448406,660068049.4648259,29573,28267,6293,33759174542.465187,24049011720.089767,3581249426.570139,70681,50351,7498,4177187.6177220754,13972.577956127849,4177187.6177220754,558,10.0,42.862803804646866,7674412426.153799,5.194126736263847e-12,-11.284487457827906,58518973.482932776,610,876702336.5726345,10099,39962804.24871657,381,505880852.3517655,4823,122272586.44998074,256,2797463042.3341293,5857,1.5697963346392498,1.569506682582869,0.5562438780325465,2141104258.8442795,2140579812.5942965,639299977.9654928,20413,20408,6095,0.03482302556221839,39962804.24871657,381,0.4371001721956418,491615914.35222363,4687,160900109.3038387,160900109.3038387,62618882.056995064,1534,1534,597,4720016.249848413,45,49822393.55740604,475,38935356184.85657,29082502261.726406,5275696133.048768,220754364.18163007,4180046231.258529,1.4332999761690983,11.625820921152966,,-0.35426795048576487,-0.35426795048576487,-0.35426795048576487,1.3282406706224836,1.3282406706224836
6,6,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_006.hdf5,1.1744965154589844,-37.10767671428849,69.88471389045533,0.14379409879260246,-195.3078158324858,-152.78442067893403,3.7790377214692494,79.1256821988019,247.9969823476769,-43.34032564093405,244.1805058289702,0.5338849685782698,19.245523975818532,22.810704087167824,2392420992.36435,0.0,1196275297.9707146,25651,0,12816,2791732233.0267777,0.0,1319087206.6206794,26616,0,12576,33759174542.465187,477627.29082023725,10826377801.022318,70681,1,22667,7945.830985167524,976.5767706321536,7945.830985167524,39,10.0,163.59420751492277,212654789.0090311,1.4392710006333714e-13,-12.84185742496635,0.0,0,0.0,0,0.0,0,0.0,0,1432881.8724607117,3,24358991.8318321,51,1.5166492555144941,0.0,0.7006655781951849,2071248018.7285109,0.0,957114405.6462798,19747,0,9125,0.0,0.0,0,0.0,0.0,0,151669855.49512902,0.0,76254484.74755104,1446,0,727,0.0,0,0.0,0,38943327767.856316,477627.29082023725,13341740305.613712,1432881.8724607117,24358991.8318321,,,,-0.15374415516349926,-0.15374415516349926,-0.15374415516349926,1.3282406706224836,1.3282406706224836
7,7,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_007.hdf5,1.3654715586230468,-72.19551864102796,14.691345202685886,-0.1870558179699325,-95.92318217816855,-217.11452127771528,2.085948984365762,73.6753929449347,237.36959243340957,50.69710751786584,231.89248953194866,19.61421039348325,3.2720386942104245,6.393471016446022,2682754436.164032,2670964405.7700644,1335527091.7509189,28419,28265,14823,2511782824.9767623,2275362499.0309615,556332581.791139,23947,21693,5304,33759174542.465187,22726939379.09935,4008725851.8542514,70681,47583,8393,6581446.099641211,18404.739842206618,6581446.099641211,735,10.0,17.69442233877587,2060601951.9919016,1.3946380644286884e-12,-11.855538485591921,420033193.25885963,5116,1220654748.403831,13654,76149595.30656052,726,477455865.79367226,4552,671543970.8932536,1406,3567875862.4271727,7470,1.387391367858072,1.3776586480416881,0.4869520560205274,1876468681.6757603,1859791290.9262958,545109432.0414996,17890,17731,5197,0.09609065752738388,76149595.30656052,726,0.4281271142172045,469064725.79394174,4472,148628067.2452267,146949839.2452806,55905970.248204544,1417,1401,533,11328038.999636196,108,49193058.248420134,469,38953711803.60598,27673266283.900375,5900585525.396309,1167726759.4586737,5265986476.624676,0.851887990014211,8.508888897958547,pericentre,0.03723088800056318,0.03723088800056318,0.03723088800056318,1.3282406706224836,1.3282406706224836
8,8,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_008.hdf5,1.5659953539453124,-84.21469822213679,-22.543951627598073,-0.5833599110157173,-57.616166460877636,-211.68843365422543,8.244159726443856,87.18191016729808,219.54403146116746,110.33954806562575,189.8019122213882,22.130077654333487,7.026086258320526,11.150033976413745,2956410489.2142496,2940595585.278061,1470398417.5775986,31028,30839,15715,2252391709.926087,2039256797.4795384,995189203.7770449,21474,19442,9488,33759174542.465187,22493379633.888252,5697138324.9037895,70681,47094,11928,8592998.015283272,15775.491677632739,8592998.015283272,630,10.0,26.64108955082038,6098860168.896322,4.127775640001053e-12,-11.384283916263966,7985057.327459799,81,116797867.45844467,1163,22865856.49926565,218,250895085.99194235,2392,13851191.43378688,29,447059144.2077421,936,1.1446810876150266,1.1343178690913192,0.599657343387662,1557500472.626998,1539249743.1275842,792857840.533543,14849,14675,7559,0.015035545471619116,22446299.499279127,214,0.1215318527247291,192157105.9938287,1832,130062669.80482906,127755106.30490316,69122015.7477801,1240,1218,659,2412452.7499225223,23,10174257.249673247,97,38967976741.60552,27473232016.64585,8162725946.258432,44702105.26051232,814752097.6581291,0.6934842749846227,7.6492598120259006,,0.23775468332282879,0.23775468332282879,0.23775468332282879,1.3282406706224836,1.3282406706224836
9,9,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_high/output/snapshot_009.hdf5,1.7569703971093749,-82.78689421313734,-67.50874498621214,-0.07113841457428968,26.53645674148073,-185.0759050741914,-0.31595272305203115,106.82277642780421,186.96891185848727,96.39698632091617,160.20298071444202,26.07659646091292,3.1303559612809226,6.4026490166797485,3177831695.7661448,3159014532.6026683,1579603035.5522816,33139,32924,17132,2041983874.6238384,1837030323.6770267,455429123.48537356,19468,17514,4342,33759174542.465187,23450067097.401188,3805734253.2556505,70681,49097,7968,8021916.027486671,17428.162797995872,8021916.027486671,696,10.0,2.8836030451218218,66703567.592735544,4.5145708179153705e-14,-13.345383530017264,483333743.6957663,5718,1523826221.3279085,16574,71954025.49768916,686,425745465.7363268,4059,711187036.0313333,1489,3594145363.4222856,7525,0.9892927308319486,0.9737384867366927,0.4032844152097823,1357896230.0744023,1330729914.325275,445359755.485697,12946,12687,4246,0.09254958824749338,71954025.49768916,686,0.38366355672769714,417983661.2365762,3985,110553269.30545563,108665262.80551624,49822393.55740604,1054,1036,475,12272042.058611993,117,47934387.05746667,457,38978990112.85517,28446111953.680885,5840766412.293305,1266474805.2247887,5543717050.486521,0.5815200609930474,7.42322229144068,,0.4287297264868912,0.4287297264868912,0.4287297264868912,1.3282406706224836,1.3282406706224836
