snapshot_index,snapshot_number,snapshot_file,time_gyr,x_sat_kpc,y_sat_kpc,z_sat_kpc,vx_sat_kms,vy_sat_kms,vz_sat_kms,R_host_kpc,V_3d_kms,V_rad_kms,V_tan_kms,r_tidal_kpc,rhalf_star_kpc,r90_star_kpc,Mstar_tracked_msun,Mstar_inside_rt_msun,Mstar_inside_rhalf_msun,Nstar_tracked,Nstar_inside_rt,Nstar_inside_rhalf,Mgas_tracked_msun,Mgas_inside_rt_msun,Mgas_inside_rhalf_msun,Ngas_tracked,Ngas_inside_rt,Ngas_inside_rhalf,Mdm_tracked_msun,Mdm_inside_rt_msun,Mdm_inside_rhalf_msun,Ndm_tracked,Ndm_inside_rt,Ndm_inside_rhalf,rho_cgm_msun_kpc3,rho_cgm_aperture_msun_kpc3,rho_cgm_density_field_msun_kpc3,N_cgm_for_ram,ram_pressure_radius_kpc,V_rel_cgm_kms,P_ram_msun_kpc3_kms2,P_ram_dyne_cm2,log10_P_ram_dyne_cm2,Mstar_inside_1kpc_msun,Nstar_inside_1kpc,Mstar_inside_3kpc_msun,Nstar_inside_3kpc,Mgas_inside_1kpc_msun,Ngas_inside_1kpc,Mgas_inside_3kpc_msun,Ngas_inside_3kpc,Mdm_inside_1kpc_msun,Ndm_inside_1kpc,Mdm_inside_3kpc_msun,Ndm_inside_3kpc,SFR_tracked_msun_per_yr,SFR_inside_rt_msun_per_yr,SFR_inside_rhalf_msun_per_yr,Mgas_SF_tracked_msun,Mgas_SF_inside_rt_msun,Mgas_SF_inside_rhalf_msun,Ngas_SF_tracked,Ngas_SF_inside_rt,Ngas_SF_inside_rhalf,SFR_inside_1kpc_msun_per_yr,Mgas_SF_inside_1kpc_msun,Ngas_SF_inside_1kpc,SFR_inside_3kpc_msun_per_yr,Mgas_SF_inside_3kpc_msun,Ngas_SF_inside_3kpc,Mstar_young_tracked_msun,Mstar_young_inside_rt_msun,Mstar_young_inside_rhalf_msun,Nstar_young_tracked,Nstar_young_inside_rt,Nstar_young_inside_rhalf,Mstar_young_inside_1kpc_msun,Nstar_young_inside_1kpc,Mstar_young_inside_3kpc_msun,Nstar_young_inside_3kpc,Msat_tracked_msun,Msat_inside_rt_msun,Msat_inside_rhalf_msun,Msat_inside_1kpc_msun,Msat_inside_3kpc_msun,gas_to_star_inside_rt,dm_to_star_inside_rt,orbital_event,t_minus_first_peri_gyr,t_minus_deepest_peri_gyr,t_minus_tperi_gyr,tperi_first_gyr,tperi_deepest_gyr
0,0,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_000.hdf5,0.0,149.78392273929705,79.81366993241522,0.05473307363820322,-120.55704168728583,1.2861228846799442,1.966722292186648,169.72167927215892,120.57994198472255,-105.78936564025331,57.86304975087166,41.50925276649446,1.652173439958116,7.117228464825479,497386913.63018006,497386913.63018006,248693456.81509003,7584,7584,3792,4673235598.511382,4673235598.511382,131531119.49577579,44554,44554,1254,33759174542.465187,33634991446.85193,1200277381.8312562,70681,70421,2513,,,,0,30.0,120.57994198472255,,,,181601313.79772794,2769,324573817.9793989,4949,99225230.49681331,946,304283714.0492338,2901,556913421.0963967,1166,3008574304.876674,6299,0.5914602831326192,0.5914602831326192,0.2374733558463049,681150789.4781244,681150789.4781244,119363966.49616654,6494,6494,1138,0.22393088398166583,98595894.99683353,940,0.2938046929812117,207366047.24334028,1977,497386913.63018006,497386913.63018006,248693456.81509003,7584,7584,3792,181601313.79772794,2769,324573817.9793989,4949,38929797054.60675,38805613958.99349,1580501958.142122,837739965.3909379,3637431836.905307,9.395574090206267,67.62339443425809,,-1.0506714934774393,-1.0506714934774393,-1.0506714934774393,1.0506714934774393,1.0506714934774393
1,1,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_001.hdf5,0.1909750431640625,124.26803546055817,79.481361270926,0.23079834652763237,-138.34359179677995,-4.999789701240344,-1.7153714764087749,147.51232048402858,138.4445368643804,-119.24070009779999,70.34589702164092,36.987388042466236,2.067487795221011,6.413850200451964,720801015.9320111,720341929.9094094,360196028.404971,9714,9707,5102,4449821496.209552,4438808140.621404,384104433.4876642,42424,42319,3662,33759174542.465187,33186021793.480904,1972600711.08758,70681,69481,4130,27208.621516841467,402.2961015094617,27208.621516841467,183,22.5,83.68468020887222,190545396.65136468,1.2896322014776987e-13,-12.88953413128536,218904816.16537726,3155,442385742.2079891,6182,97127445.49688068,926,727616727.0356382,6937,614706323.2856454,1287,3378257827.9715376,7073,1.6297070488435565,1.6297070488435565,0.4084651772463985,2079744048.55122,2079744048.55122,379594195.73780906,19828,19828,3619,0.13017185513308505,97127445.49688068,926,0.6817682044566027,703806867.286403,6710,150935630.55415872,150935630.55415872,42480146.248635724,1439,1439,405,19194732.749383554,183,62199325.248002425,593,38929797054.60675,38345171864.01172,2716901172.980215,930738584.9479033,4548260297.215165,6.162084915950444,46.06981825652492,,-0.8596964503133768,-0.8596964503133768,-0.8596964503133768,1.0506714934774393,1.0506714934774393
2,2,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_002.hdf5,0.3914988384863281,92.85234654096496,77.63558212451333,0.06374599215792373,-171.44820108964132,-21.69441154311275,2.5534495449421106,121.03241687055174,172.83417848809475,-145.4442019203134,93.36828894982331,30.906999747730527,2.6195739711203196,6.37478298035718,1078997804.6705074,1076964709.427557,538507688.4795126,13129,13098,6977,4091624707.4710555,4049354373.9103184,586435796.5401722,39009,38606,5591,33759174542.465187,30429634698.157314,2797463042.3341293,70681,63710,5857,811525.9632331983,3155.0984084808406,811525.9632331983,126,10.0,116.06532827239997,10932196441.37386,7.39903078817027e-12,-11.130825165528075,266617515.01706022,3626,593071394.960134,7607,104259914.49665162,994,742196332.7851698,7076,648140233.643062,1357,3366317145.7010317,7048,1.9056506141969294,1.9056506141969294,0.5876671302612522,2459023576.157051,2459023576.157051,578254435.0404351,23444,23444,5513,0.14305751724896254,104259914.49665162,994,0.7121727154226392,728560730.2856078,6946,192681552.2438119,192681552.2438119,66499784.49786431,1837,1837,634,18040950.999420606,172,79296272.99745335,756,38929797054.60675,35555953781.49519,3922406527.353814,1019017663.1567738,4701584873.446336,3.7599694200404086,28.254997059589527,,-0.6591726549911112,-0.6591726549911112,-0.6591726549911112,1.0506714934774393,1.0506714934774393
3,3,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_003.hdf5,0.5824738816503906,57.48033110357661,69.79659401458238,0.12885341505360953,-191.85863341839882,-56.341528549415536,-1.3060890669767853,90.41885645713401,199.96451916555353,-165.4600981314457,112.28875656735798,23.63822410222052,2.8084464036514523,6.398841232010786,1429327899.6592562,1425196125.455841,712695908.4052941,16469,16406,8725,3742238615.732276,3639447191.9902573,620524802.7890775,35678,34698,5916,33759174542.465187,25802859131.981678,3190072675.388365,70681,54023,6679,2839773.4029453937,8388.555231232414,2839773.4029453937,335,10.0,48.01399873326177,6546654786.998659,4.430847962556186e-12,-11.35351315183156,306830297.2587844,4021,752465984.3238623,9157,97232334.74687731,927,691849492.7867868,6596,666767697.9850512,1396,3484768713.824451,7296,1.767997077848122,1.767997077848122,0.6077236244200321,2303577707.2800555,2303577707.2800555,613182555.2893133,21962,21962,5846,0.13051792926125927,97232334.74687731,927,0.6643416601764329,681989903.2871037,6502,174325933.4944014,174325933.4944014,68178012.49781042,1662,1662,650,18460507.999407127,176,74156699.7476184,707,38930741057.85672,30867502449.427776,4523293386.582737,1070830329.9907129,4929084190.935101,2.55364656624098,18.104777771360258,,-0.46819761182704867,-0.46819761182704867,-0.46819761182704867,1.0506714934774393,1.0506714934774393
4,4,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_004.hdf5,0.7829976769726562,23.941181469249553,62.76532594073791,-1.042701317463394,-265.5465967610902,-110.37414882349954,-1.9337108780877226,67.18447392536497,287.57814071599586,-197.7116382545973,208.83317532507226,0.7531403536142846,16.062071012054094,20.54632283790619,1784168232.2068663,0.0,892139289.435363,19852,0,10139,3389496068.184599,0.0,1433940934.4120212,32315,0,13671,33759174542.465187,1910509.163280949,10139072129.531996,70681,4,21228,155847.14775628774,3505.6641738354033,155847.14775628774,140,10.0,68.02697151799505,721208991.6424996,4.881221776872386e-13,-12.311471459853456,0.0,0,131167.43502905592,2,0.0,0,314667.55899600685,3,2865763.7449214235,6,49195610.95448446,103,1.7601541160911438,0.0,0.7827512981602922,2393887351.718149,0.0,1040081802.3936152,22823,0,9916,0.0,0.0,0,0.0,0.0,0,167403242.80362982,0.0,77827823.49750051,1596,0,742,0.0,0,0.0,0,38932838842.85665,1910509.163280949,12465152353.37938,2865763.7449214235,49641445.94850953,,,,-0.26767381650478306,-0.26767381650478306,-0.26767381650478306,1.0506714934774393,1.0506714934774393
5,5,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_005.hdf5,0.9739727201367188,-31.22606176069998,10.020660626621204,-0.24418205700985154,-154.1115921978691,-283.01324756647466,-1.0621011073338278,32.79542951927801,322.254572049253,60.26991456782583,316.5683916701637,9.946379915663218,2.8795943780249824,7.072131736611316,2145197030.695272,2083355766.4718683,1041777484.4700034,23294,22583,11925,3035389960.195971,2456191566.025154,695520616.5366689,28939,23417,6631,33759174542.465187,14079019651.508133,3318076789.3281884,70681,29477,6947,3981464.615661861,14573.535958465412,3981464.615661861,582,10.0,92.40529204840043,33996683203.634903,2.3009329101275655e-11,-10.638096044167588,394309272.6967734,4873,1075108222.6852305,12272,101008347.55576216,963,735902977.7853721,7016,682529398.5821191,1429,3506261941.911361,7341,2.0428666761181375,1.9458953147586726,0.7238712894977652,2414550533.7764916,2268754476.472168,687549033.536925,23020,21630,6555,0.14369879200239666,101008347.55576216,963,0.7580468038649997,726567834.5356718,6927,203275366.49347168,191003324.2438658,71849136.24769253,1938,1821,685,14894273.49952166,142,75310481.49758136,718,38939761533.35643,18618566984.005157,5055374890.334861,1177847018.8346548,5317273142.381964,1.1789592567690337,6.757856664755219,pericentre,-0.0766987733407205,-0.0766987733407205,-0.0766987733407205,1.0506714934774393,1.0506714934774393
6,6,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_006.hdf5,1.1744965154589844,-35.54925918965335,-12.494305272445484,2.0507047837418075,-45.032870768391554,-227.61795818207656,7.026091897035583,37.73675772087837,232.13629682573514,118.16653468918568,199.8097354572977,0.05,34.58650762194465,39.851750424182775,2514616968.9924135,0.0,1257328728.5431433,26816,0,13328,2675619832.8985195,0.0,1300416920.8852544,25509,0,12398,33759174542.465187,0.0,12705363563.10913,70681,0,26601,36487.87477841007,5859.458070392735,36487.87477841007,234,10.0,205.67727172551713,1543551678.8647892,1.0446927528515232e-12,-11.981011418032505,0.0,0,0.0,0,0.0,0,0.0,0,477627.29082023725,1,3821018.326561898,8,1.5563298530250904,0.0,0.806537144453614,1767908307.9292467,0.0,921137393.470417,16855,0,8782,0.0,0.0,0,0.0,0.0,0,170130363.49453616,0.0,89470530.2471266,1622,0,853,0.0,0,0.0,0,38949411344.35612,0.0,15263109212.537529,477627.29082023725,3821018.326561898,,,,0.1238250219815451,0.1238250219815451,0.1238250219815451,1.0506714934774393,1.0506714934774393
7,7,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_007.hdf5,1.3654715586230468,-47.820472610145416,-85.41277576144954,0.27761153379654163,13.57046362530464,-182.13219798382863,0.821455386788995,97.8887988081222,182.63890553323722,152.29218080347673,100.81697020095328,22.94963703797063,2.4976233314158782,6.755272279625127,2802642849.483163,2722854507.5740833,1361459962.7271674,29562,28708,14881,2398292655.907426,1988175732.7311788,618951464.0391281,22865,18955,5901,33759174542.465187,18929802417.07846,2779790832.5737805,70681,39633,5820,10168535.194402698,6861.087114422003,10168535.194402698,274,10.0,10.35614993140826,1090573786.888385,7.381123335307118e-13,-12.131877537743398,609377127.7846826,6998,1566345897.172141,16982,151669855.30413514,1446,776600006.784065,7404,740799928.062188,1551,3503873805.45726,7336,1.3656548544604448,1.3509715556137962,0.7570437707545352,1438451173.8808215,1414326646.381596,612448330.5393368,13714,13484,5839,0.26795997393492144,151669855.30413514,1446,0.8850337929143279,764013296.7844694,7284,146215614.49530417,140971151.9954726,80135386.99742639,1394,1344,764,35557455.74885805,339,92931875.49701543,886,38960110047.855774,23640832657.38372,4760202259.340076,1501846911.1510057,5846819709.413466,0.7301806714977718,6.9521901976113645,,0.31480006514560754,0.31480006514560754,0.31480006514560754,1.0506714934774393,1.0506714934774393
8,8,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_008.hdf5,1.5659953539453124,-42.6309760457079,-117.99204449419709,0.3912790144634257,32.73760480130646,-137.92475472272656,0.5441467339896657,125.45786456734176,141.75783868668046,118.5944039022621,77.65727391678153,27.237726685394186,2.297946744456626,6.375218161427529,3076298902.724375,2975978099.020722,1487992798.383857,32171,31116,16048,2140265100.9157126,1753014034.2387314,548256109.5413985,20405,16713,5227,33759174542.465187,17666955860.149757,2540977187.163662,70681,36989,5320,11707253.395474968,6485.480155603279,11707253.395474968,259,10.0,8.283292222357693,803268958.1956493,5.436612655785896e-13,-12.264671608224573,738513068.3815076,8285,1798296228.4077075,19205,170969477.30351532,1630,724889606.3447318,6911,785696893.3992903,1645,3526799915.4166317,7384,1.2358600156003376,1.1984634123837168,0.735193923344923,1236539367.2553182,1187451198.4478886,545948546.0414727,11789,11321,5205,0.3296320599329192,170969477.30351532,1630,0.8727954321002471,717022912.5949845,6836,132370233.49574885,122195976.2460756,78981605.24746345,1262,1165,753,44892598.998558246,428,91358536.74706596,871,38975738546.10527,22395947993.40921,4577226095.088918,1695179439.0843134,6049985750.169071,0.589054749702486,5.936520791588911,,0.5153238604678732,0.5153238604678732,0.5153238604678732,1.0506714934774393,1.0506714934774393
9,9,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_009.hdf5,1.7569703971093749,-35.32926211253545,-142.22611358871055,0.5977479090641427,41.00757490108237,-110.22169557665092,0.9296200475898313,146.54958700224242,117.60657961395133,97.08790043173043,66.37203596584234,30.468849406342066,2.217337183989536,6.121512130064328,3313558386.0257616,3196730441.050022,1598453312.0172272,34433,33218,17088,1918634115.8638244,1533375944.936779,485217670.293423,18292,14619,4626,33759174542.465187,17039831227.302784,2449272747.3261766,70681,35676,5128,11135651.53476839,6084.832732863309,11135651.53476839,243,10.0,2.271214136455171,57442296.91905752,3.887757832806675e-14,-13.410300794967792,833333620.6578678,9198,1977605183.3014207,20925,167298353.7446271,1595,648844900.0971742,6186,815787412.7209651,1708,3592712481.5498247,7522,1.0257606128252519,1.0029712128743995,0.6588809859313187,1015852385.8353873,979665594.7775434,483958999.2934634,9685,9340,4614,0.3229571341944393,167298353.7446271,1595,0.7807988688546175,640558649.538434,6107,119783523.49615306,112965722.24637201,76254484.74755104,1142,1077,727,46151269.99851782,440,91043868.99707606,868,38991367044.354774,21769937613.289585,4532943729.6368265,1816419387.12346,6219162564.94842,0.4796700795432457,5.330393519731915,,0.7062989036319356,0.7062989036319356,0.7062989036319356,1.0506714934774393,1.0506714934774393
