snapshot_index,snapshot_number,snapshot_file,time_gyr,x_sat_kpc,y_sat_kpc,z_sat_kpc,vx_sat_kms,vy_sat_kms,vz_sat_kms,R_host_kpc,V_3d_kms,V_rad_kms,V_tan_kms,r_tidal_kpc,rhalf_star_kpc,r90_star_kpc,Mstar_tracked_msun,Mstar_inside_rt_msun,Mstar_inside_rhalf_msun,Nstar_tracked,Nstar_inside_rt,Nstar_inside_rhalf,Mgas_tracked_msun,Mgas_inside_rt_msun,Mgas_inside_rhalf_msun,Ngas_tracked,Ngas_inside_rt,Ngas_inside_rhalf,Mdm_tracked_msun,Mdm_inside_rt_msun,Mdm_inside_rhalf_msun,Ndm_tracked,Ndm_inside_rt,Ndm_inside_rhalf,rho_cgm_msun_kpc3,rho_cgm_aperture_msun_kpc3,rho_cgm_density_field_msun_kpc3,N_cgm_for_ram,ram_pressure_radius_kpc,V_rel_cgm_kms,P_ram_msun_kpc3_kms2,P_ram_dyne_cm2,log10_P_ram_dyne_cm2,Mstar_inside_1kpc_msun,Nstar_inside_1kpc,Mstar_inside_3kpc_msun,Nstar_inside_3kpc,Mgas_inside_1kpc_msun,Ngas_inside_1kpc,Mgas_inside_3kpc_msun,Ngas_inside_3kpc,Mdm_inside_1kpc_msun,Ndm_inside_1kpc,Mdm_inside_3kpc_msun,Ndm_inside_3kpc,SFR_tracked_msun_per_yr,SFR_inside_rt_msun_per_yr,SFR_inside_rhalf_msun_per_yr,Mgas_SF_tracked_msun,Mgas_SF_inside_rt_msun,Mgas_SF_inside_rhalf_msun,Ngas_SF_tracked,Ngas_SF_inside_rt,Ngas_SF_inside_rhalf,SFR_inside_1kpc_msun_per_yr,Mgas_SF_inside_1kpc_msun,Ngas_SF_inside_1kpc,SFR_inside_3kpc_msun_per_yr,Mgas_SF_inside_3kpc_msun,Ngas_SF_inside_3kpc,Mstar_young_tracked_msun,Mstar_young_inside_rt_msun,Mstar_young_inside_rhalf_msun,Nstar_young_tracked,Nstar_young_inside_rt,Nstar_young_inside_rhalf,Mstar_young_inside_1kpc_msun,Nstar_young_inside_1kpc,Mstar_young_inside_3kpc_msun,Nstar_young_inside_3kpc,Msat_tracked_msun,Msat_inside_rt_msun,Msat_inside_rhalf_msun,Msat_inside_1kpc_msun,Msat_inside_3kpc_msun,gas_to_star_inside_rt,dm_to_star_inside_rt,orbital_event,t_minus_first_peri_gyr,t_minus_deepest_peri_gyr,t_minus_tperi_gyr,tperi_first_gyr,tperi_deepest_gyr
0,0,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_000.hdf5,0.0,149.78392273929705,79.81366993241522,0.05473307363820322,-115.56004177775797,-37.7028770946891,1.966722292186648,169.72167927215892,121.5709594988416,-119.71442776022843,21.164923328706713,41.50925276649446,1.652173439958116,7.117228464825479,497386913.63018006,497386913.63018006,248693456.81509003,7584,7584,3792,4673235598.511382,4673235598.511382,131531119.49577579,44554,44554,1254,33759174542.465187,33634991446.85193,1200277381.8312562,70681,70421,2513,,,,0,30.0,121.5709594988416,,,,181601313.79772794,2769,324573817.9793989,4949,99225230.49681331,946,304283714.0492338,2901,556913421.0963967,1166,3008574304.876674,6299,0.5914602831326192,0.5914602831326192,0.2374733558463049,681150789.4781244,681150789.4781244,119363966.49616654,6494,6494,1138,0.22393088398166583,98595894.99683353,940,0.2938046929812117,207366047.24334028,1977,497386913.63018006,497386913.63018006,248693456.81509003,7584,7584,3792,181601313.79772794,2769,324573817.9793989,4949,38929797054.60675,38805613958.99349,1580501958.142122,837739965.3909379,3637431836.905307,9.395574090206267,67.62339443425809,,-0.8994408278032444,-4.101102403194138,-0.8994408278032444,0.8994408278032444,4.101102403194138
1,1,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_001.hdf5,0.1909750431640625,125.20383516341332,71.88583697499548,0.2468874213748918,-134.0622902868679,-43.67252875875188,-2.2742038683223993,144.37324838979563,141.0147490455489,-138.01109881435042,28.949888642872928,36.337101282345515,2.049249815738247,6.317230035459952,719961902.1230319,719502816.1004303,359762773.58713555,9706,9699,5090,4450660610.018531,4438178805.121424,373195951.4880145,42432,42313,3558,33759174542.465187,33096705490.09752,1944898328.220006,70681,69294,4072,28113.594209166426,408.8910887899919,28113.594209166426,186,22.5,85.32544638918283,204679105.33525577,1.3852906963318192e-13,-12.858459082508807,217908480.0354758,3147,452874667.2076522,6282,97651891.74686384,931,723526046.4767635,6898,619004968.9030275,1296,3379690709.8439984,7076,1.6340059351823584,1.6340059351823584,0.39916701227411977,2085198289.3600507,2085198289.3600507,368895492.2381527,19880,19880,3517,0.13104036970617017,97651891.74686384,931,0.6798755449162854,701394414.7274742,6687,150096516.74517956,150096516.74517956,42480146.248635724,1431,1431,405,18040950.999420606,172,69646461.99776325,664,38929797054.60675,38254387111.319374,2677857053.295156,934565340.6853671,4556091423.528414,6.168396712017775,45.99941063396448,,-0.708465784639182,-3.910127360030075,-0.708465784639182,0.8994408278032444,4.101102403194138
2,2,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_002.hdf5,0.3914988384863281,94.41920792231426,62.18823663330695,0.0451997919148095,-169.41608185545684,-59.319601101190436,2.1528682390705542,113.05912454666621,179.51395128990393,-174.11258417313144,43.70431031681226,29.136270013663143,2.6247506734760213,6.343975047963887,1074907123.9206388,1072611693.8076302,536370597.9470979,13090,13055,6957,4095820277.4709206,4046312586.6153855,585282014.9812032,39049,38577,5580,33759174542.465187,29729433089.814846,2807015588.150534,70681,62244,5877,756071.3076332472,2679.329639573556,756071.3076332472,107,10.0,108.0610484402298,8828788456.436705,5.975421129846442e-12,-11.223631481522352,258225928.03706357,3540,592114587.8528478,7602,102371907.99671225,976,738944766.2262683,7045,655304643.0053656,1372,3371571045.9000545,7059,1.9197327034999034,1.9197327034999034,0.5856720742995094,2480735650.906354,2480735650.906354,576785985.7314762,23651,23651,5499,0.14138206958159572,102371907.99671225,976,0.707009462024871,722896710.9767836,6892,191422881.24385232,191422881.24385232,64821556.49791821,1825,1825,618,18775175.749397025,179,76464263.24754429,729,38929901943.85675,34848357370.23786,3928668201.0788355,1015902479.0391414,4702630399.979171,3.7723927586986385,27.716864603889668,,-0.5079419893169164,-3.7096035647078094,-0.5079419893169164,0.8994408278032444,4.101102403194138
3,3,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_003.hdf5,0.5824738816503906,58.159538919159274,47.052742576383146,0.15529783790993687,-203.27554046426908,-94.49218867042492,-1.3605692281119117,74.80987012866044,224.16862005952652,-217.46782344914212,54.39959543677794,20.02506770807414,2.8303178724278624,6.458489145873338,1428174117.7182994,1422533918.01205,711359296.6197758,16458,16372,8722,3743392397.673233,3591827473.8287435,622622587.9800041,35689,34244,5936,33759174542.465187,23475858971.10548,3212998785.3477364,70681,49151,6727,2698360.2011595946,7487.098119699593,2698360.2011595946,299,10.0,56.64488227634044,8658073729.312038,5.85987952493994e-12,-11.232111312683553,298150767.69409645,3939,746579382.2757405,9105,95973663.74691774,915,686185473.2869687,6542,672021598.1840738,1407,3476649049.8805075,7279,1.8114741131175833,1.8114741131175833,0.6075845919040148,2369657934.9689274,2369657934.9689274,618427017.9801388,22592,22592,5896,0.12747823361860355,95973663.74691774,915,0.6584747125889407,680416564.5371541,6487,178416614.24427003,178416614.24427003,66709562.99785758,1701,1701,636,17411615.49944082,166,72058914.74768579,687,38930741057.85672,28490220362.946274,4546980669.947516,1066146029.625088,4909413905.443216,2.5249503216402873,16.502846557017296,,-0.3169669461528538,-3.518628521543747,-0.3169669461528538,0.8994408278032444,4.101102403194138
4,4,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_004.hdf5,0.7829976769726562,28.224846098158096,46.39538054996067,-3.357070714649227,-337.96672534929587,-198.92600490464878,0.713406358800302,54.40995494781754,392.1652353527573,-344.9865283239783,186.48824921225582,0.05,35.19936993558108,39.79368538358646,1800845622.765337,0.0,900437673.5720145,20011,0,10205,3373028456.126121,0.0,1846470348.1549804,32158,0,17604,33759174542.465187,0.0,15319417725.76829,70681,0,32074,35062.986618509814,2228.6003314660184,35062.986618509814,89,10.0,159.5900964283538,893019166.8465505,6.044051939020428e-13,-12.218671812246141,0.0,0,0.0,0,0.0,0,0.0,0,477627.29082023725,1,10030173.107224982,21,1.9735041345375066,0.0,0.889689625309984,2585520011.843982,0.0,1208009492.02021,24650,0,11517,0.0,0.0,0,0.0,0.0,0,184814858.30307066,0.0,79086494.49746008,1762,0,754,0.0,0,0.0,0,38933048621.35664,0.0,18066325747.495285,477627.29082023725,10030173.107224982,,,,-0.1164431508305882,-3.3181047262214816,-0.1164431508305882,0.8994408278032444,4.101102403194138
5,5,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_005.hdf5,0.9739727201367188,-34.13664711815592,-36.57990527757651,0.01741059172158124,-117.58061352501299,-231.75266910667892,0.8648498025775988,50.03399294194575,259.87544762860784,249.6565418560122,72.15857113792178,14.215722653705237,3.1778637093125286,10.047496260995445,2208655026.7522397,2100154426.170775,1050115174.1391368,23899,22787,11991,2977700872.8888173,2423675898.908186,745447899.5350654,28389,23107,7107,33759174542.465187,19260320502.326065,3290852033.7514343,70681,40325,6890,4145881.1729382123,7987.9048903208,4145881.1729382123,319,10.0,35.21513247622339,5141330274.24883,3.4797088760086673e-12,-11.458457089051052,411248327.8458967,5027,1011670470.3887081,11587,117475959.99622717,1120,697198844.5366151,6647,638110060.5358369,1336,3061590934.1577206,6410,1.402199309090065,1.3065452481059765,0.73090669602243,1783851474.1197286,1627986048.6247344,719225587.0359076,17007,15521,6857,0.17848978914844338,117475959.99622717,1120,0.699085062406084,676011216.0372956,6445,190688656.49387592,170864588.24451256,83177175.2473287,1818,1629,793,23180524.249255545,221,79296272.99745335,756,38945530442.10625,23784150827.405025,5086415107.425636,1166834348.3779607,4770460249.083044,1.1540465161541906,9.170906797288964,pericentre,0.07453189233347435,-3.1271296830574187,0.07453189233347435,0.8994408278032444,4.101102403194138
6,6,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_006.hdf5,1.1744965154589844,-51.37592188014145,-71.88809450323308,0.14584726420603936,-81.16045351149535,-159.95057903539862,3.9189347319681094,88.35951987060955,179.40614537240447,177.3301512928218,27.213644369125916,19.35140052645638,4.37897149919716,8.792704982402498,2441089604.553781,2095660185.8688374,1047927668.4873185,26115,22607,11646,2753972102.836997,1877727352.8667135,599651842.039748,26256,17902,5717,33759174542.465187,13858355843.149183,2817523388.5485797,70681,29015,5899,7781791.243478617,7286.774043558151,7781791.243478617,291,10.0,18.435057839634005,2644652318.271978,1.789929775945476e-12,-11.747164007298112,17399258.622390337,176,264325985.34483987,2764,17831172.49942734,170,239462157.5513156,2283,39165437.84725946,82,899849815.9053271,1884,1.0942371628225374,1.0741182817037043,0.5705276560001948,1227518892.3285894,1194583667.8296473,571856190.7906406,11703,11389,5452,0.011925778479053406,16362722.999474503,156,0.19353869227415998,225826555.05175352,2153,105728363.80561057,100798569.05576889,57164641.24816412,1008,961,545,524446.249983157,5,15418719.749504816,147,38954236249.855965,17831743381.884735,4465102899.075646,74395868.96907714,1403637958.8014827,0.8960075519534808,6.612883107956581,,0.27505568765573996,-2.9266058877351533,0.27505568765573996,0.8994408278032444,4.101102403194138
7,7,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_007.hdf5,1.3654715586230468,-61.85730760490897,-103.25761502423927,0.5537140276488116,-37.15939038902056,-124.96618487444556,1.0186968804900707,120.36929909178149,130.3779329468452,126.30175827208599,32.346116565541834,23.746530067697577,2.4213757834821092,6.627508358794465,2657790795.046822,2297374793.9795427,1148751780.3379889,28181,24523,12774,2546186498.59367,1690395152.37273,473784742.23478407,24275,16116,4517,33759174542.465187,12347143094.993954,2287834723.0289364,70681,25851,4790,8785937.008079799,6560.601501770591,8785937.008079799,262,10.0,10.536640742930341,975421739.0938054,6.60176161095278e-13,-12.180340162059172,526130569.6785712,6153,1365818565.409427,14999,105413696.24661456,1005,666151626.5376122,6351,661036170.4952083,1384,2959378693.92219,6196,1.0773585736642417,1.051268802053528,0.5148427868152794,1255524321.8866963,1211365947.8291082,471477178.73485816,11970,11549,4495,0.15525029161653947,105413696.24661456,1005,0.6683992897706048,657655597.2878851,6270,114958617.99630803,108875041.4965034,61779768.2480159,1096,1038,589,20872960.749329656,199,76778930.99753419,732,38963151836.10568,16334913041.346226,3910371245.6017094,1292580436.420394,4991348885.869229,0.735794245154316,5.374457457856091,,0.4660307308198024,-2.735630844571091,0.4660307308198024,0.8994408278032444,4.101102403194138
8,8,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_008.hdf5,1.5659953539453124,-68.06931173632192,-125.8196877784555,0.7769881716769848,-23.259169429391644,-97.5155011361147,0.681134021302253,143.05463551924322,100.25330851362318,96.83806990188138,25.94444228743502,26.87728104133797,2.392397970741955,6.136884746568694,2885085799.598528,2505973010.5476775,1253077055.062022,30348,26508,13766,2336093331.041411,1520159899.4372034,433402380.6040932,22272,14493,4132,33759174542.465187,11793573064.933298,2271595395.141048,70681,24692,4756,8412346.429787993,6886.12757834325,8412346.429787993,275,10.0,9.27076249973672,723016252.604645,4.893453517833942e-13,-12.310384532622352,566107518.7254028,6548,1534979317.93936,16620,102057240.24672236,973,619371020.6571268,5905,666290070.6942309,1395,3001409895.514371,6284,1.032551498105022,0.9698055798980931,0.4624365238523751,1231399794.387471,1136789691.0815034,428367696.60425484,11740,10838,4084,0.14874063341267174,102057240.24672236,973,0.6047216463957739,605001193.5985823,5768,115273285.55530402,101952350.99672572,54332631.49825507,1099,972,518,18250729.49941387,174,71744246.9976959,684,38980353673.105125,15819705974.918179,3958074830.8071632,1334454829.666356,5155760234.110857,0.6066146335330939,4.706185188465309,,0.666554526142068,-2.5351070492488255,0.666554526142068,0.8994408278032444,4.101102403194138
9,9,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_009.hdf5,1.7569703971093749,-70.96201129513616,-142.37390210272838,1.0460180104447039,-12.170029832723525,-75.26263960318441,0.6373862222460226,159.08183177436226,76.24290660359502,72.79091562888863,22.68178584839673,29.134880270626223,2.384532023409506,5.990873533716022,3093290960.841841,2698667813.629072,1349390323.6121695,32333,28347,14667,2141313993.7976665,1351288206.9426267,400886713.2961314,20415,12883,3822,33759174542.465187,11618283849.20227,2316492360.4781504,70681,24325,4850,8075705.107701511,6861.087114422003,8075705.107701511,274,10.0,9.212746857475139,685423085.9367574,4.639018831179554e-13,-12.333573864545096,603736034.3088949,6900,1670128781.1338263,17904,93666100.24699184,893,572380636.8496299,5457,672976852.7657143,1409,3056814661.2495184,6400,0.9804074822604889,0.8816250566014787,0.41803705218990217,1181787178.9480705,1048892499.3933324,395117804.5463166,11267,10000,3767,0.13333889685600298,93666100.24699184,893,0.5471080552706553,557801031.100098,5318,113070611.49636865,99435008.99680658,51290843.24835276,1078,948,489,19089843.49938692,182,68282901.74780706,651,38993779497.10469,15668239869.77397,4066769397.3864512,1370378987.321601,5299324079.232975,0.5007241721705135,4.305192284328769,,0.8575295693061304,-2.344132006084763,0.8575295693061304,0.8994408278032444,4.101102403194138
