snapshot_index,snapshot_number,snapshot_file,time_gyr,center_mode,velocity_mode,member_mode,x_sat_kpc,y_sat_kpc,z_sat_kpc,vx_sat_kms,vy_sat_kms,vz_sat_kms,R_host_kpc,V_3d_kms,V_rad_kms,V_tan_kms,L_kpc_kms,r_tidal_kpc,rhalf_star_all_kpc,r90_star_all_kpc,rhalf_star_member_kpc,r90_star_member_kpc,Nstar_tracked,Nstar_inner_ids_found,Nstar_member,Nstar_inside_rt,Nstar_stripped_candidate,Nstar_stripped_definitive,fstar_member,fstar_stripped_candidate,fstar_stripped_definitive,Mstar_tracked_msun,Mstar_inside_rt_msun,Mstar_member_msun,Mstar_not_definitively_stripped_msun,Mgas_tracked_msun,Mdm_tracked_msun,median_rstar_over_rt,p90_rstar_over_rt,median_vrel_over_vesc,N_center_source,N_center_final,N_velocity_source,offset_all_stars_com_from_center_kpc,offset_inner_ids_com_from_center_kpc,x_all_stars_com_kpc,y_all_stars_com_kpc,z_all_stars_com_kpc
0,0,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_000.hdf5,0.0,inner_ids_shrinking,inner_ids,tidal_kinematic,149.78499087608853,79.81307950227158,0.05458019157743225,-121.19327867903498,1.7220848648797065,1.6193876350235927,169.72234422839898,121.2163305399423,-106.14631173265636,58.5351116435451,9934.716367813528,41.507267621120874,1.6526422071377547,7.118359820928934,1.7597491899091242,7.265719057765146,7584,3792,7161,7584,0,0,0.9442246835443038,0.0,0.0,497386913.63018006,497386913.63018006,469645001.1215347,497386913.63018006,4667781357.511558,33759174542.465187,0.03981870190453687,0.17145504974859024,0.590535334385327,3792,253,3792,0.290081339205806,0.07343717895139454,149.9999999879278,79.99999998792819,8.172333656659417e-10
1,1,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_001.hdf5,0.1909750431640625,inner_ids_shrinking,inner_ids,tidal_kinematic,124.27001556695677,79.48055060392886,0.23246299906396398,-137.8661641331416,-5.916152572178744,-1.9483544489587097,147.51355440216776,138.00679751049373,-119.33345663410778,69.32100898615032,10225.788430291645,36.91000660375718,1.5201852165808636,6.365065083041486,1.6665997746438208,6.565739722015491,7584,3792,7023,7577,0,0,0.9260284810126582,0.0,0.0,497386913.63018006,496927827.6075784,460594448.10452986,497386913.63018006,4444367255.209726,33759174542.465187,0.04120430400496075,0.1724241682193282,0.6264425925841683,3792,306,3792,0.32483837816766586,0.04601250263281328,124.17620514716775,79.7903581933134,0.20528148642483293
2,2,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_002.hdf5,0.3914988384863281,inner_ids_shrinking,inner_ids,tidal_kinematic,92.8600679734174,77.64123330957739,0.06646426658114839,-172.15547874004028,-23.369924919117825,2.4757287710493006,121.04196690139607,173.75209778269,-147.06200798829352,92.53408718054422,11200.507917758336,30.717546517602166,1.5372058756106317,6.452693873554563,1.6868185214496962,6.533720775813424,7584,3792,7010,7552,4,0,0.9243143459915611,0.0005274261603375527,0.0,497386913.63018006,495288234.66971517,459741859.77684104,497386913.63018006,4086170466.4712305,33759174542.465187,0.050048092829424795,0.21004449635300204,0.6332002587788782,3792,340,3792,0.02761770150062896,0.048196732578540916,92.87819171555459,77.62206806487686,0.058281308516292644
3,3,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_003.hdf5,0.5824738816503906,inner_ids_shrinking,inner_ids,tidal_kinematic,57.48083262289727,69.79536025754867,0.13442410496989843,-191.37668527933104,-57.20038117452253,-1.7764658140875569,90.4182310286069,199.7500315539485,-165.81889575449142,111.37400467148754,10070.240484967702,23.35399815024116,1.4818836748390107,6.402292914980538,1.6128137508604994,6.399099653243387,7584,3792,6951,7520,27,4,0.9165348101265823,0.003560126582278481,0.0005274261603375527,497386913.63018006,493189555.7092503,455872420.4434838,497124578.76012194,3736889263.982448,33759174542.465187,0.0634586270346999,0.2741001731385891,0.6406440962843408,3792,372,3792,0.15199926252356805,0.02383853506348695,57.433245007844846,69.93945192158976,0.12566128263926948
4,4,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_004.hdf5,0.7829976769726562,inner_ids_shrinking,inner_ids,tidal_kinematic,12.33947800332483,51.947760922999464,-0.16371044070957555,-242.67313643749247,-135.4215813648852,-1.988847078394023,53.393439516630174,277.9086385135901,-187.83173096519616,204.8229777224603,10936.203272640274,14.506407574717853,1.499358747250877,6.583961876000927,1.6301287153061224,6.329151448946853,7584,3792,6841,7440,86,27,0.9020305907172996,0.011339662447257384,0.003560126582278481,497386913.63018006,487942858.30808806,448658211.51688576,495616153.2572878,3384146716.4347706,33759174542.465187,0.10336651432634882,0.45383724986584445,0.6502199224089786,3792,3792,3792,0.0901225502411887,0.0,12.317893096542532,51.863130999681765,-0.14148563608916473
5,5,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_005.hdf5,0.9739727201367188,inner_ids_shrinking,inner_ids,tidal_kinematic,-31.212467104070807,10.029969960451124,-0.2467129332937553,-154.26361846848343,-281.8903576895152,-1.0343019034173666,32.785351414949155,321.3417301281302,60.632306408218355,315.5696926850866,10346.063270588074,9.537263466192048,1.4385847691306388,6.8141618959236485,1.4779843530645285,5.652074347488214,7584,3792,6558,7223,179,84,0.8647151898734177,0.023602320675105485,0.011075949367088608,497386913.63018006,473711191.60743546,430098019.4602744,491877881.3589597,3030250386.946136,33759174542.465187,0.15087337331834028,0.7140013358722104,0.6668051960634751,3792,3792,3792,0.28206643780904134,0.0,-31.316376781790666,10.291873123100403,-0.25978915632420635
6,6,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_006.hdf5,1.1744965154589844,inner_ids_shrinking,inner_ids,tidal_kinematic,-47.570540789310456,-44.907654412185096,-0.03441834879508531,-22.368968609549903,-239.25172625111117,0.8025919370004346,65.41907184005618,240.2964906622837,180.50256320725637,158.6229116496713,10376.963652688732,16.47567443630262,1.4377156952437886,7.6312343280789365,1.5418474109629325,6.4767336361685794,7584,3792,6705,7344,148,118,0.8840981012658228,0.019514767932489453,0.015559071729957807,497386913.63018006,481646821.4266933,439738825.93490994,489648034.9634658,2670690038.148678,33759174542.465187,0.08727019953732287,0.4630127524177826,0.682755815766677,3792,3792,3792,0.35435850357944454,0.0,-47.61204507638102,-44.55601724594802,-0.04851255095719099
7,7,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_007.hdf5,1.3654715586230468,inner_ids_shrinking,inner_ids,tidal_kinematic,-47.99678362332857,-84.68435805883166,0.36628417102381217,14.813181830215743,-184.14304094676694,0.4738481964232034,97.34097750749666,184.738502801043,152.89782447939584,103.68495400316694,10092.794775488097,21.916303597029607,1.5260958488265761,6.77991044910696,1.6799953662564697,6.178950462937615,7584,3792,6409,7329,172,132,0.8450685654008439,0.02267932489451477,0.01740506329113924,497386913.63018006,480663065.6639755,420326045.5506097,488729862.91826236,2393677528.9075737,33759174542.465187,0.06963596415073539,0.3092871812231714,0.7186717778382219,3792,78,3792,0.20456136036376046,0.7611574531119297,-47.94278629295164,-84.85642265357083,0.2697263453270695
8,8,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_008.hdf5,1.5659953539453124,inner_ids_shrinking,inner_ids,tidal_kinematic,-42.63736342563423,-117.99413270027419,0.3945461055924815,30.635286284130828,-136.83659016230953,0.09179722120166839,125.46200930245365,140.22404073370708,118.28077075811396,75.31560839928757,9449.247561611372,25.99848964380299,1.259097676118257,6.802405773826611,1.399307850315626,5.963322877783164,7584,3792,6440,7307,220,169,0.8491561181434599,0.0290084388185654,0.022283755274261602,497386913.63018006,479220223.8786558,422359140.79356,486303265.37022483,2135859752.415854,33759174542.465187,0.04846934781074373,0.26151737355910265,0.7311612337612559,3792,465,3792,0.7045657228727922,0.02190998850878141,-42.82917386541764,-117.31630206585956,0.3816138170706763
9,9,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_009.hdf5,1.7569703971093749,inner_ids_shrinking,inner_ids,tidal_kinematic,-35.33391835886961,-142.22471560338502,0.5998416569582216,40.90593678299931,-109.59343612461632,-0.005479822691750265,146.54936139427028,116.97870291520397,96.4966672837695,66.12420236833893,9690.459629785559,28.970184442480438,1.2553479659503568,6.8429956260153855,1.4039371436281571,6.053580573577759,7584,3792,6391,7307,241,220,0.8426951476793249,0.03177742616033755,0.0290084388185654,497386913.63018006,479220223.8786558,419145538.6353482,482958495.7769839,1914753213.6139488,33759174542.465187,0.043354732979524996,0.23597541768716193,0.7480881809836537,3792,471,3792,1.1312665325594218,0.03014032385381346,-35.66020953403733,-141.14322954962574,0.5391296135000153
