snapshot_index,snapshot_number,snapshot_file,time_gyr,center_mode,velocity_mode,member_mode,x_sat_kpc,y_sat_kpc,z_sat_kpc,vx_sat_kms,vy_sat_kms,vz_sat_kms,R_host_kpc,V_3d_kms,V_rad_kms,V_tan_kms,L_kpc_kms,r_tidal_kpc,rhalf_star_all_kpc,r90_star_all_kpc,rhalf_star_member_kpc,r90_star_member_kpc,Nstar_tracked,Nstar_inner_ids_found,Nstar_member,Nstar_inside_rt,Nstar_stripped_candidate,Nstar_stripped_definitive,fstar_member,fstar_stripped_candidate,fstar_stripped_definitive,Mstar_tracked_msun,Mstar_inside_rt_msun,Mstar_member_msun,Mstar_not_definitively_stripped_msun,Mgas_tracked_msun,Mdm_tracked_msun,median_rstar_over_rt,p90_rstar_over_rt,median_vrel_over_vesc,N_center_source,N_center_final,N_velocity_source,offset_all_stars_com_from_center_kpc,offset_inner_ids_com_from_center_kpc,x_all_stars_com_kpc,y_all_stars_com_kpc,z_all_stars_com_kpc
0,0,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_000.hdf5,0.0,inner_ids_shrinking,inner_ids,tidal_kinematic,149.78499087608853,79.81307950227158,0.05458019157743225,-116.1962787711418,-37.266915118639105,1.6193876350235927,169.72234422839898,122.03696398646281,-120.07115221569046,21.81602586700228,3702.6670518950214,41.507267621120874,1.6526422071377547,7.118359820928934,1.7597491899091242,7.265719057765146,7584,3792,7161,7584,0,0,0.9442246835443038,0.0,0.0,497386913.63018006,497386913.63018006,469645001.1215347,497386913.63018006,4667781357.511558,33759174542.465187,0.03981870190453687,0.17145504974859024,0.5905353833412674,3792,253,3792,0.290081339205806,0.07343717895139454,149.9999999879278,79.99999998792819,8.172333656659417e-10
1,1,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_001.hdf5,0.1909750431640625,inner_ids_shrinking,inner_ids,tidal_kinematic,125.20542416688063,71.88676362879136,0.2474917703176041,-133.35404162391842,-44.42122991747955,-2.218330948031254,144.37508884155395,140.5754853344293,-137.76959016490122,27.946504303857022,4034.7790416802195,36.260389574910256,1.5191283099613595,6.359690178423656,1.6689126381434776,6.554868111064613,7584,3792,7023,7576,0,0,0.9260284810126582,0.0,0.0,497386913.63018006,496862243.8900639,460594448.10452986,497386913.63018006,4445206369.018706,33759174542.465187,0.0419032772665866,0.17536240271312645,0.6248855277876335,3792,289,3792,0.3245283805531318,0.05059083507767001,125.11499434583814,72.19594536551932,0.20815005041949905
2,2,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_002.hdf5,0.3914988384863281,inner_ids_shrinking,inner_ids,tidal_kinematic,94.41712687819425,62.1919674172525,0.044748714960612834,-171.50973816763047,-61.29270344859261,2.1671580134174917,113.05943862238622,182.1457722710615,-176.94474509545185,43.21619533608861,4885.9987840935555,28.95021022114759,1.5378795429039036,6.463136747579443,1.6769525741677145,6.506911374430211,7584,3792,7011,7547,10,0,0.9244462025316456,0.0013185654008438818,0.0,497386913.63018006,494960316.0821425,459807443.49435556,497386913.63018006,4090366036.471096,33759174542.465187,0.053137511090342565,0.22315479311060396,0.6340536080548613,3792,347,3792,0.01870651591032347,0.05079343461138382,94.43060895863462,62.17985795268533,0.049388554656025124
3,3,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_003.hdf5,0.5824738816503906,inner_ids_shrinking,inner_ids,tidal_kinematic,58.16109864512511,47.06147988179231,0.15468601612127605,-202.75301411182116,-96.034951333978,-1.8369668423563354,74.81657712055464,224.35434262863686,-218.02880812503878,52.899053714625204,3957.726131844624,19.752506026375613,1.4862890059340936,6.437560044220446,1.5931552664222994,6.362465385813752,7584,3792,6974,7495,39,10,0.9195675105485233,0.005142405063291139,0.0013185654008438818,497386913.63018006,491549962.7713871,457380845.946318,496731076.4550348,3738043045.923405,33759174542.465187,0.07526780048808784,0.32590441415445887,0.6416639872432401,3792,347,3792,0.15072074021680076,0.02451874767819674,58.16232102787103,47.211326132623064,0.13851974184767965
4,4,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_004.hdf5,0.7829976769726562,inner_ids_shrinking,inner_ids,tidal_kinematic,6.241784105069528,19.2661483861223,-0.15361538415557266,-311.36138980801104,-222.52657414891064,-1.356486468308683,20.252603292827093,382.7085461825559,-307.63808997636806,227.6502512997901,4610.510229087045,6.378105141748191,1.499755897064583,6.602863461398622,1.360841851110489,4.496888552106792,7584,3792,6199,6769,334,39,0.8173786919831224,0.04404008438818566,0.005142405063291139,497386913.63018006,443936183.8558397,406553464.87255883,494829148.64711344,3367679104.376293,33759174542.465187,0.23524014070866123,1.035218943074194,0.6520923795641804,3792,3792,3792,0.06126603964900078,0.0,6.211186444383911,19.21929545205948,-0.128673184081284
5,5,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_005.hdf5,0.9739727201367188,inner_ids_shrinking,inner_ids,tidal_kinematic,-34.11433846638679,-36.59147417545315,0.013601049381612114,-121.13812603163335,-231.02678220483276,1.8376242359382997,50.02723514567437,260.86624261718424,251.58661126247324,68.95921672026743,3449.838950326332,13.759646653203333,1.4892229622325395,8.194371820701983,1.5126981086108726,7.127505967552637,7584,3792,6662,7363,126,110,0.8784282700421941,0.01661392405063291,0.0145042194092827,497386913.63018006,482892912.05946934,436918726.08178526,490172704.703582,2972456410.3889856,33759174542.465187,0.10823946541710329,0.5954946279450148,0.703879451709482,3792,3792,3792,0.5428506537182108,0.0,-34.26512718213258,-36.07165119300697,-0.028036221984118124
6,6,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_006.hdf5,1.1744965154589844,inner_ids_shrinking,inner_ids,tidal_kinematic,-51.395698948910365,-71.22589553029914,0.19434660815290716,-59.78100131289901,-160.9801026783917,-0.6821688646837492,87.8332729388141,171.7231112304873,165.52162134607778,45.73204344487529,4016.7950539434264,18.333746213104153,4.743262847879091,15.142124211621882,4.7670629591852,8.35947002337973,7584,3792,5694,6955,354,103,0.7507911392405063,0.04667721518987342,0.013581223628691984,497386913.63018006,456134755.313542,373433687.5277222,490631790.72618365,2749356975.837145,33759174542.465187,0.25871863195521005,0.8256664971308573,0.7771568276554063,3792,19,3792,3.962390004948604,4.54926250047366,-52.0297927447762,-75.134031151166,0.35225664036323984
7,7,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_007.hdf5,1.3654715586230468,inner_ids_shrinking,inner_ids,tidal_kinematic,-61.86391966327345,-103.24671504700102,0.5572287093580156,-36.32964576335768,-126.51317853376831,1.7187117915456844,120.36336331265885,131.63731034258709,127.20251141909569,33.88071077922386,4077.996300810855,22.628899751125196,1.4136681551231511,13.808784907618273,1.3631145753795204,5.754350140171661,7584,3792,6307,6976,449,338,0.8316191983122363,0.059203586497890294,0.044567510548523204,497386913.63018006,457512013.38134706,413636506.3641279,475219617.1102696,2541781150.093811,33759174542.465187,0.0624731151064494,0.609592505856707,0.7139533559074597,3792,306,3792,0.8257912026846747,0.03458221737133946,-61.613438674700525,-102.4598981751925,0.5676974739651816
8,8,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_008.hdf5,1.5659953539453124,inner_ids_shrinking,inner_ids,tidal_kinematic,-68.07046935341576,-125.81515763022679,0.7722940141504459,-24.92668288798117,-96.82594519492068,0.32299001936152855,143.05117659620078,99.98353617091348,97.02256447312908,24.152214977054907,3455.0027698720824,25.505625662393268,1.4039597546211064,11.762231580413811,1.3881304915943493,5.869352706480704,7584,3792,6228,6972,512,444,0.8212025316455697,0.06751054852320675,0.058544303797468354,497386913.63018006,457249678.51128894,408455392.6804801,468267743.05372965,2331792871.7915487,33759174542.465187,0.055089400577293474,0.4607235744825672,0.7268632581370867,3792,440,3792,1.4751782774764162,0.02629383679277822,-67.27791530472324,-124.57202458119157,0.7210177756401206
9,9,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_009.hdf5,1.7569703971093749,inner_ids_shrinking,inner_ids,tidal_kinematic,-70.96428118673384,-142.37102283447896,1.0396084846155444,-12.461270194102815,-73.37988730608058,0.027987920713167757,159.08022546214485,74.43045008077827,71.2313787386477,21.58662970958074,3434.0059211679395,27.554874483398912,1.401275827740482,12.26527376587448,1.3914307031717859,5.766775692282515,7584,3792,6214,6978,531,510,0.8193565400843882,0.07001582278481013,0.06724683544303797,497386913.63018006,457643180.8163761,407537220.63527673,463939217.69777083,2137118423.7978013,33759174542.465187,0.05086084404579677,0.4445008172163554,0.7344648606148609,3792,383,3792,2.2467629434886836,0.04523831009876576,-69.66092656503939,-140.54609672942217,0.9022943723622873
