snapshot_index,snapshot_number,snapshot_file,time_gyr,center_mode,velocity_mode,member_mode,x_sat_kpc,y_sat_kpc,z_sat_kpc,vx_sat_kms,vy_sat_kms,vz_sat_kms,R_host_kpc,V_3d_kms,V_rad_kms,V_tan_kms,L_kpc_kms,r_tidal_kpc,rhalf_star_all_kpc,r90_star_all_kpc,rhalf_star_member_kpc,r90_star_member_kpc,Nstar_tracked,Nstar_inner_ids_found,Nstar_member,Nstar_inside_rt,Nstar_stripped_candidate,Nstar_stripped_definitive,fstar_member,fstar_stripped_candidate,fstar_stripped_definitive,Mstar_tracked_msun,Mstar_inside_rt_msun,Mstar_member_msun,Mstar_not_definitively_stripped_msun,Mgas_tracked_msun,Mdm_tracked_msun,median_rstar_over_rt,p90_rstar_over_rt,median_vrel_over_vesc,N_center_source,N_center_final,N_velocity_source,offset_all_stars_com_from_center_kpc,offset_inner_ids_com_from_center_kpc,x_all_stars_com_kpc,y_all_stars_com_kpc,z_all_stars_com_kpc
0,0,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_000.hdf5,0.0,stars_com_all,inner_ids,tidal_kinematic,149.9999999879278,79.99999998792819,8.172333656659417e-10,-116.1962787711418,-37.266915118639105,1.6193876350235927,169.9999999836672,122.03696398646281,-120.06350014864367,21.858099439106358,3715.8769042910712,41.56257342809908,1.6926933966099333,7.056096563248038,1.7949409549026525,7.232784480298679,7584,3792,7124,7584,0,0,0.9393459915611815,0.0,0.0,497386913.63018006,497386913.63018006,467218403.5734972,497386913.63018006,4667781357.511558,33759174542.465187,0.04073521479193168,0.16974563785012434,0.5935789915066679,7584,7584,3792,0.0,0.22663957675876292,149.9999999879278,79.99999998792819,8.172333656659417e-10
1,1,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_001.hdf5,0.1909750431640625,stars_com_all,inner_ids,tidal_kinematic,125.11499434583814,72.19594536551932,0.20815005041949905,-133.35404162391842,-44.42122991747955,-2.218330948031254,144.45089014548734,140.5754853344293,-137.70828672378974,28.247032492084156,4080.308987450054,36.28249232365258,1.5487127540411278,6.311152461131552,1.7224459714580023,6.565620123936594,7584,3792,6993,7577,0,0,0.9220727848101266,0.0,0.0,497386913.63018006,496927827.6075784,458626936.57909405,497386913.63018006,4445206369.018706,33759174542.465187,0.04269027369069979,0.1739388564879823,0.62297632519642,7584,7584,3792,0.0,0.28284557576445607,125.11499434583814,72.19594536551932,0.20815005041949905
2,2,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_002.hdf5,0.3914988384863281,stars_com_all,inner_ids,tidal_kinematic,94.43060895863462,62.17985795268533,0.049388554656025124,-171.50973816763047,-61.29270344859261,2.1671580134174917,113.06403974095397,182.1457722710615,-176.9513421288628,43.18917543801394,4883.142648102648,28.951006715975204,1.5365485775889647,6.446007154864226,1.67802903855713,6.509554384507916,7584,3792,7012,7547,10,0,0.92457805907173,0.0013185654008438818,0.0,497386913.63018006,494960316.0821425,459873027.2118701,497386913.63018006,4090366036.471096,33759174542.465187,0.05307604505312712,0.22263252912284406,0.6333498794158265,7584,7584,3792,0.0,0.06152493830692243,94.43060895863462,62.17985795268533,0.049388554656025124
3,3,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_003.hdf5,0.5824738816503906,stars_com_all,inner_ids,tidal_kinematic,58.16232102787103,47.211326132623064,0.13851974184767965,-202.75301411182116,-96.034951333978,-1.8369668423563354,74.91184212305093,224.35434262863686,-217.94655287015217,53.23693406222545,3988.07679958471,19.77775378039992,1.4924536905697936,6.4265557728372205,1.6119213572670208,6.346100793851805,7584,3792,6925,7495,39,10,0.9131065400843882,0.005142405063291139,0.0013185654008438818,497386913.63018006,491549962.7713871,454167243.78810614,496731076.4550348,3738043045.923405,33759174542.465187,0.0755040678299696,0.32490751280344293,0.6463748287217372,7584,7584,3792,0.0,0.15260763724077991,58.16232102787103,47.211326132623064,0.13851974184767965
4,4,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_004.hdf5,0.7829976769726562,stars_com_all,inner_ids,tidal_kinematic,6.211186444383911,19.21929545205948,-0.128673184081284,-311.36138980801104,-222.52657414891064,-1.356486468308683,20.198433392437995,382.7085461825559,-307.47696883634,227.86782343363424,4602.573053904083,6.362502317006729,1.5009665526953857,6.594548583167194,1.3725677038072386,4.501569948777204,7584,3792,6185,6768,335,39,0.8155327004219409,0.044171940928270044,0.005142405063291139,497386913.63018006,443870600.1383252,405635292.82735544,494829148.64711344,3367679104.376293,33759174542.465187,0.2359230000778173,1.0362282486445826,0.6511780188394607,7584,7584,3792,0.0,0.06126603964900078,6.211186444383911,19.21929545205948,-0.128673184081284
5,5,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_005.hdf5,0.9739727201367188,stars_com_all,inner_ids,tidal_kinematic,-34.26512718213258,-36.07165119300697,-0.028036221984118124,-121.13812603163335,-231.02678220483276,1.8376242359382997,49.75202253805794,260.86624261718424,250.93008569498366,71.3112097100855,3547.8769127123473,13.746739650271136,1.5942017319003563,8.17626409626998,1.6767157406293496,7.291327245195903,7584,3792,6507,7363,125,111,0.8579905063291139,0.016482067510548523,0.014636075949367089,497386913.63018006,482892912.05946934,426753249.8670335,490107120.9860674,2972456410.3889856,33759174542.465187,0.11597349915645866,0.5947253677221851,0.7116254316520174,7584,7584,3792,0.0,0.5428506537182108,-34.26512718213258,-36.07165119300697,-0.028036221984118124
6,6,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_006.hdf5,1.1744965154589844,stars_com_all,inner_ids,tidal_kinematic,-52.0297927447762,-75.134031151166,0.35225664036323984,-59.78100131289901,-160.9801026783917,-0.6821688646837492,91.39117055180675,171.7231112304873,166.37533765485267,42.5214528316246,3886.0853478455974,19.383954314282416,1.5388488921800711,14.383382224473488,1.5440424405701427,6.4670253254321235,7584,3792,6256,7023,306,101,0.8248945147679325,0.040348101265822785,0.013317510548523207,497386913.63018006,460594448.10452986,410291736.7708869,490762958.1612127,2749356975.837145,33759174542.465187,0.07939476029472184,0.7419904450124393,0.6942894962846862,7584,7584,3792,0.0,0.5884800832511887,-52.0297927447762,-75.134031151166,0.35225664036323984
7,7,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_007.hdf5,1.3654715586230468,stars_com_all,inner_ids,tidal_kinematic,-61.613438674700525,-102.4598981751925,0.5676974739651816,-36.32964576335768,-126.51317853376831,1.7187117915456844,119.55989645284009,131.63731034258709,127.14880115376266,34.081722952214534,4074.8072671011587,22.450636102433318,1.6340187455472652,13.881038710969927,1.6754742085205399,5.95458562837411,7584,3792,6026,6965,455,301,0.7945675105485233,0.05999472573839663,0.039688818565400845,497386913.63018006,456790592.4886872,395207481.7425455,477646214.65830714,2541781150.093811,33759174542.465187,0.07280394499290241,0.6182389423249384,0.7207007880056793,7584,7584,3792,0.0,0.821325822730084,-61.613438674700525,-102.4598981751925,0.5676974739651816
8,8,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_008.hdf5,1.5659953539453124,stars_com_all,inner_ids,tidal_kinematic,-67.27791530472324,-124.57202458119157,0.7210177756401206,-24.92668288798117,-96.82594519492068,0.32299001936152855,141.58046144379986,99.98353617091348,97.04059463094111,24.079669825679233,3409.2107653340004,25.24735975691329,1.9934728771142434,11.982155103883086,2.03785619295853,6.368696774251536,7584,3792,5952,6970,511,450,0.7848101265822784,0.06737869198312237,0.05933544303797468,497386913.63018006,457118511.07625985,390354286.6464704,467874240.7486425,2331792871.7915487,33759174542.465187,0.07896277235842508,0.47448603250446386,0.7371076222493655,7584,7584,3792,0.0,1.4652484073652758,-67.27791530472324,-124.57202458119157,0.7210177756401206
9,9,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_009.hdf5,1.7569703971093749,stars_com_all,inner_ids,tidal_kinematic,-69.66092656503939,-140.54609672942217,0.9022943723622873,-12.461270194102815,-73.37988730608058,0.027987920713167757,156.86511444840215,74.43045008077827,71.2800016745231,21.42552824336449,3360.917940012844,27.18958207389506,2.605577417994668,12.623918910512803,2.623176972238886,6.569313480758131,7584,3792,5875,6973,530,509,0.7746571729957806,0.06988396624472573,0.06711497890295359,497386913.63018006,457315262.22880346,385304340.39785177,464004801.41528535,2137118423.7978013,33759174542.465187,0.09584482110508435,0.4638850739657836,0.76891277456664,7584,7584,3792,0.0,2.246163010507388,-69.66092656503939,-140.54609672942217,0.9022943723622873
