snapshot_index,snapshot_number,snapshot_file,time_gyr,center_mode,velocity_mode,member_mode,x_sat_kpc,y_sat_kpc,z_sat_kpc,vx_sat_kms,vy_sat_kms,vz_sat_kms,R_host_kpc,V_3d_kms,V_rad_kms,V_tan_kms,L_kpc_kms,r_tidal_kpc,rhalf_star_all_kpc,r90_star_all_kpc,rhalf_star_member_kpc,r90_star_member_kpc,Nstar_tracked,Nstar_inner_ids_found,Nstar_member,Nstar_inside_rt,Nstar_stripped_candidate,Nstar_stripped_definitive,fstar_member,fstar_stripped_candidate,fstar_stripped_definitive,Mstar_tracked_msun,Mstar_inside_rt_msun,Mstar_member_msun,Mstar_not_definitively_stripped_msun,Mgas_tracked_msun,Mdm_tracked_msun,median_rstar_over_rt,p90_rstar_over_rt,median_vrel_over_vesc,N_center_source,N_center_final,N_velocity_source,offset_all_stars_com_from_center_kpc,offset_inner_ids_com_from_center_kpc,x_all_stars_com_kpc,y_all_stars_com_kpc,z_all_stars_com_kpc
0,0,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_000.hdf5,0.0,stellar_core,inner_ids,tidal_kinematic,149.78392273929705,79.81366993241522,0.05473307363820322,-116.1962787711418,-37.266915118639105,1.6193876350235927,169.72167927215892,122.03696398646281,-120.07101955424237,21.816755997122172,3702.776464102517,41.507137608897445,1.652173439958116,7.117228464825479,1.760592987620886,7.266922070431032,7584,3792,7160,7584,0,0,0.9440928270042194,0.0,0.0,497386913.63018006,497386913.63018006,469579417.4040202,497386913.63018006,4667781357.511558,33759174542.465187,0.03982131763253261,0.17143078979785076,0.5906867443751442,7584,249,3792,0.29052362420932626,0.07386769467969952,149.9999999879278,79.99999998792819,8.172333656659417e-10
1,1,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_001.hdf5,0.1909750431640625,stellar_core,inner_ids,tidal_kinematic,125.2061342285578,71.88707553639131,0.24723743982484198,-133.35404162391842,-44.42122991747955,-2.218330948031254,144.37585949176585,140.5754853344293,-137.76960269165332,27.94644254989061,4034.791662877689,36.26054182904901,1.5193201204974591,6.360325881533235,1.6698593379712074,6.554380558485524,7584,3792,7021,7576,0,0,0.9257647679324894,0.0,0.0,497386913.63018006,496862243.8900639,460463280.6695008,497386913.63018006,4445206369.018706,33759174542.465187,0.04190785015535917,0.17537948755777139,0.6249359943476698,7584,289,3792,0.32439925027386646,0.050355630403013024,125.11499434583814,72.19594536551932,0.20815005041949905
2,2,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_002.hdf5,0.3914988384863281,stellar_core,inner_ids,tidal_kinematic,94.41597200382897,62.19228677695753,0.0453407868504645,-171.50973816763047,-61.29270344859261,2.1671580134174917,113.05865008818252,182.1457722710615,-176.94438905095686,43.217653101539625,4886.129519639437,28.949950459535447,1.5379749684603694,6.463183389490287,1.6777330278925633,6.507843969589389,7584,3792,7011,7547,10,0,0.9244462025316456,0.0013185654008438818,0.0,497386913.63018006,494960316.0821425,459807443.49435556,497386913.63018006,4090366036.471096,33759174542.465187,0.05314869959059916,0.2231676296779617,0.6339919828877896,7584,354,3792,0.019623978775458597,0.05103226338794221,94.43060895863462,62.17985795268533,0.049388554656025124
3,3,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_003.hdf5,0.5824738816503906,stellar_core,inner_ids,tidal_kinematic,58.16131472655904,47.06170835740927,0.15493250708904632,-202.75301411182116,-96.034951333978,-1.8369668423563354,74.81688932534854,224.35434262863686,-218.02878321038904,52.899156402772206,3957.7503299905134,19.75256572535117,1.4865390073776013,6.437791849468402,1.5932405135052208,6.362623562058403,7584,3792,6974,7495,39,10,0.9195675105485233,0.005142405063291139,0.0013185654008438818,497386913.63018006,491549962.7713871,457380845.946318,496731076.4550348,3738043045.923405,33759174542.465187,0.07527176677014044,0.3259097915759837,0.6416078336375131,7584,349,3792,0.15051867048683107,0.02468425113372758,58.16232102787103,47.211326132623064,0.13851974184767965
4,4,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_004.hdf5,0.7829976769726562,stellar_core,inner_ids,tidal_kinematic,6.267686690053634,19.25431166705998,-0.16434942432879085,-311.36138980801104,-222.52657414891064,-1.356486468308683,20.249430237669277,382.7085461825559,-307.95378638318215,227.2230111001677,4601.136511665997,6.376150306666271,1.4977211678555191,6.609211935949173,1.3628823324361017,4.504642726873237,7584,3792,6194,6770,335,39,0.8167194092827004,0.044171940928270044,0.005142405063291139,497386913.63018006,444001767.5733543,406225546.2849862,494829148.64711344,3367679104.376293,33759174542.465187,0.2350652808387876,1.0364615321529487,0.6529059869303797,7584,434,3792,0.07544009008410685,0.030434707908231554,6.211186444383911,19.21929545205948,-0.128673184081284
5,5,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_005.hdf5,0.9739727201367188,stellar_core,inner_ids,tidal_kinematic,-34.1367831759983,-36.57982937125274,0.015374177534031514,-121.13812603163335,-231.02678220483276,1.8376242359382997,50.03402960786209,260.86624261718424,251.55308430153877,69.08141801954099,3456.4217145428097,13.763689985949858,1.4918311121733883,8.191306913618316,1.5180693837536965,7.129027866169716,7584,3792,6647,7362,126,110,0.8764504219409283,0.01661392405063291,0.0145042194092827,497386913.63018006,482827328.3419548,435934970.31906736,490172704.703582,2972456410.3889856,33759174542.465187,0.10841380200810963,0.5950060049823148,0.7036514772114502,7584,387,3792,0.5259293750515476,0.025347789604931583,-34.26512718213258,-36.07165119300697,-0.028036221984118124
6,6,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_006.hdf5,1.1744965154589844,stellar_core,inner_ids,tidal_kinematic,-50.38592653858415,-72.00824021319954,0.28752507273183797,-59.78100131289901,-160.9801026783917,-0.6821688646837492,87.886352310361,171.7231112304873,166.1670841855135,43.32813247721143,3807.951515842193,18.393299010055436,4.294166657419999,14.815975680886377,4.328050352410247,8.123681300477298,7584,3792,5725,6971,345,103,0.7548786919831224,0.045490506329113924,0.013581223628691984,497386913.63018006,457184094.79377437,375466782.7706726,490631790.72618365,2749356975.837145,33759174542.465187,0.2334661768947404,0.8054952256529424,0.7647105093217006,7584,98,3792,3.532287540331547,4.095711959565379,-52.0297927447762,-75.134031151166,0.35225664036323984
7,7,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_007.hdf5,1.3654715586230468,stellar_core,inner_ids,tidal_kinematic,-61.86318349314265,-103.24824564168752,0.5542114200172844,-36.32964576335768,-126.51317853376831,1.7187117915456844,120.36428394789942,131.63731034258709,127.2028819827864,33.87931949587979,4077.860031763688,22.629288141359172,1.4138198784687164,13.808259172911425,1.3621257271901315,5.755304731155481,7584,3792,6307,6976,449,333,0.8316191983122363,0.059203586497890294,0.043908227848101264,497386913.63018006,457512013.38134706,413636506.3641279,475547535.69784224,2541781150.093811,33759174542.465187,0.06248382649560075,0.6095813117723129,0.7129244731918774,7584,455,3792,0.8270707804770269,0.031828148484361427,-61.613438674700525,-102.4598981751925,0.5676974739651816
8,8,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_008.hdf5,1.5659953539453124,stellar_core,inner_ids,tidal_kinematic,-68.0704853417093,-125.81543316007192,0.7724090027434942,-24.92668288798117,-96.82594519492068,0.32299001936152855,143.05142715673935,99.98353617091348,97.02258407507938,24.152136233354547,3454.997557065353,25.505660770612486,1.404038121976297,11.762271192895781,1.390036598740873,5.8692024848900415,7584,3792,6226,6972,512,444,0.8209388185654009,0.06751054852320675,0.058544303797468354,497386913.63018006,457249678.51128894,408324225.2454511,468267743.05372965,2331792871.7915487,33759174542.465187,0.055095959340523644,0.46072203063280137,0.7268272223693513,7584,446,3792,1.4754230633226961,0.02637286511501748,-67.27791530472324,-124.57202458119157,0.7210177756401206
9,9,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_009.hdf5,1.7569703971093749,stellar_core,inner_ids,tidal_kinematic,-70.96425715629306,-142.36940615164795,1.039130949140212,-12.461270194102815,-73.37988730608058,0.027987920713167757,159.07876475144897,74.43045008077827,71.2312850970972,21.586938704765082,3434.0235439192743,27.55467347560384,1.401287570780025,12.26522871894131,1.3907961266061006,5.768269366990842,7584,3792,6217,6978,531,510,0.8197521097046413,0.07001582278481013,0.06724683544303797,497386913.63018006,457643180.8163761,407733971.78782034,463939217.69777083,2137118423.7978013,33759174542.465187,0.05087923370226767,0.44449709977274926,0.7346147525215571,7584,386,3792,2.2454068958697073,0.04607919412462366,-69.66092656503939,-140.54609672942217,0.9022943723622873
